title,link,Processo,start_vigencia,end_vigencia,Area,Orientador,Orientador_link,Aluno,Aluno_link,Institution,assunto,resumo,Area-Nivel_1,Area-Nivel_2,vigencia_months,label,PIndex
"Potencial terapêutico de células estromais mesenquimais (MSC) e de pericitos no camundongo SOD1, modelo para Esclerose Lateral Amiotrófica",/pt/bolsas/142600/potencial-terapeutico-de-celulas-estromais-mesenquimais-msc-e-de-pericitos-no-camundongo-sod1-mod/,13/03166-7,2013-05-01,2015-07-31,Ciências Biológicas - Genética - Genética Humana e Médica,Mayana Zatz,/pt/pesquisador/98/mayana-zatz/,Giuliana Castello Coatti,/pt/pesquisador/664928/giuliana-castello-coatti/,"Instituto de Biociências (IB). Universidade de São Paulo (USP). São Paulo , SP, Brasil",Pericitos Células-tronco,"A esclerose lateral amiotrófica (ELA) é uma doença neurodegenerativa fatal. Caracteristicamente há depleção na quantidade de neurônios motores bem como existência de quadro inflamatório estabelecido no sistema nervoso central. ELA é uma doença multifatorial e a maioria dos casos são esporádicos. ELA familial compreende 5 a 10% dos casos. Dentre os genes identificados para esta doença está o gene SOD1, que codifica uma importante enzima antioxidante humana, a superóxido dismutase 1. Assim, o camundongo transgênico portador de mutação G93A no gene SOD1, é uma importante ferramenta para os estudos envolvendo ELA. Uma das abordagens estudadas para busca de tratamento para esta doença é a terapia com células tronco. As células estromais mesenquimais (mesenchymal stromal cells - MSC), em especial as derivadas de tecido de cordão umbilical (umbilical cord tissue - UCT) e de tecido adiposo (adipose-derived stromal cells - ASC), são células que possuem capacidade de diferenciar-se em osteócitos, adipócitos, condrócitos in vitro. Apesar de não ter sido comprovado o seu potencial de diferenciação em células neuronais, outra maneira provável de atuação destas células no tratamento de diversas doenças seria por meio da modulação da resposta inflamatória e estresse oxidativo. A avaliação do potencial regenerativo e anti-inflamatório de diferentes fontes de MSC e de seus fatores solúveis, em um modelo animal para ELA, o camundongo SOD1, é essencial na busca de um tratamento efetivo para esta doença.",Ciências Biológicas,Genética,26.97385983285077,0.0,0
Comparação de redes gênicas para o entendimento de efeitos tóxicos de glicose e de variantes genéticas no risco de diabetes mellitus tipo 2,/pt/bolsas/139135/comparacao-de-redes-genicas-para-o-entendimento-de-efeitos-toxicos-de-glicose-e-de-variantes-genetic/,12/14097-3,2013-05-01,2015-12-08,Ciências Biológicas - Genética - Genética Humana e Médica,Alexandre da Costa Pereira,/pt/pesquisador/54216/alexandre-da-costa-pereira/,André Ramos Vaquero,/pt/pesquisador/201862/andre-ramos-vaquero/,"Instituto do Coração Professor Euryclides de Jesus Zerbini (INCOR). Hospital das Clínicas da Faculdade de Medicina da USP (HCFMUSP). Secretaria da Saúde (São Paulo - Estado). São Paulo , SP, Brasil",Análise de sequência de RNA Genética médica,"Diabetes Mellitus tipo 2 (DMT2) é uma doença causada por fatores ambientais e genéticos (doença multifatorial complexa), sendo caracterizada por: hiperglicemia sanguínea; por resistência de tecidos à sinalização da insulina; e por uma falha, na fase tardia, em aumentar a quantidade de insulina disponível aos tecidos quando ocorre a resistência. Ultimamente, o estudo genético tem sido uma das abordagens mais utilizadas para o entendimento dessa doença, visando à identificação dos genes responsáveis pelas características multifatoriais da doença e a identificação das interações destes genes com fatores ambientais. O presente estudo é uma continuação do projeto ""Estudo comparativo de redes gênicas de expressão de genes associados a Diabetes Mellitus tipo 2 (DM2) e genótipos de risco da doença"" e seu objetivo é investigar possíveis causas genéticas e ambientais que influenciam na patologia do DMT2 em 100 amostras de células vasculares de músculo liso. Com a finalidade de analisar a contribuição para o risco de DMT2 dos marcadores genéticos mais significativamente associados ao risco dessa doença, e dos níveis tóxicos de glicose no sangue; serão utilizadas estratégias de comparação de padrões de expressão gênica, e de padrões de correlações de expressão gênica. A técnica utilizada para a medição dos níveis de expressão gênica será o RNA-seq, de modo que serão quantificados todos os RNAm presentes nas células, afim de se analizar expressões: dos genes que possuem ou estão perto de polimorfismos associados ao risco de DMT2, assim como dos genes que participam de suas vias de sinalização, e de genes que participam de vias de sinalização de DMT2. As comparações de padrões serão feitas para cada polimorfismo entre indivíduos com e sem determinado alelo de risco para DMT2, e com indivíduos antes e após o tratamento de glicose em cultura celular; sendo que tais comparações serão representadas de modo simples como redes de interações gênicas. Com base no conhecimento atual, consideramos que essa elaboração de um diagrama resultante da conectividade entre genes relacionados a DMT2 nos permite que se examine o comportamento do grupo inteiro de genes e o modo como os genes podem interagir, nos propiciando avançar no entendimento da patologia da doença.",Ciências Biológicas,Genética,31.244994763752853,0.0,1
Caracterização do perfil metabólico e transcricional do patossistema Moniliophthora perniciosa x Solanum lycopersicum,/pt/bolsas/142572/caracterizacao-do-perfil-metabolico-e-transcricional-do-patossistema-moniliophthora-perniciosa-x-sol/,13/01138-6,2013-05-01,2014-01-31,Ciências Biológicas - Genética - Genética Vegetal,Antonio Vargas de Oliveira Figueira,/pt/pesquisador/934/antonio-vargas-de-oliveira-figueira/,Juliana Deganello,/pt/pesquisador/82508/juliana-deganello/,"Centro de Energia Nuclear na Agricultura (CENA). Universidade de São Paulo (USP). Piracicaba , SP, Brasil",Vassoura-de-bruxa Análise de sequência de RNA Moniliophthora perniciosa Metabolômica Biologia molecular,"A vassoura-de-bruxa consiste em uma das mais importantes doenças que acometem o cacaueiro (Theobroma cacao), sendo causada pelo basidiomiceto Moniliophthora perniciosa e caracterizada pelos sintomas de inchamento e indução de brotações laterais nos ramos infectados. A espécie Solanum lycopersicum (Syn. Lycopersicon esculentum), também hospedeiro do fungo M. perniciosa, apresenta uma cultivar miniatura 'Micro-Tom' (MT), a qual demonstrou ser um modelo genético adequado para o estudo da interação com esse patógeno, com sintomas característicos de hipertrofia, hiperplasia e formação de vassouras. Sabe-se que o desenvolvimento dos sintomas da vassoura-de-bruxa e a resposta de defesa das plantas estão relacionados à sinalização por fitohormônios, sendo de suma importância um entendimento aprofundado sobre essa complexa rede hormonal no modelo já estabelecido para M. perniciosa. Desse modo, no presente projeto, plantas de MT, mutantes e transgênicos com alterações na via biossintética/percepção dos hormônios ácido salicílico (AS), ácido jasmônico (JA) e etileno (ET) serão desafiadas com M. perniciosa para determinação da incidência da doença e analisadas por RT-qPCR para genes marcadores de resposta associada a esses hormônios. O transcriptoma de plantas inoculadas com o fungo do biótipo-S e -C também será revelado pelo seqüenciamento por RNA-Seq, buscando a avaliação de genes relacionados principalmente aos fitohormônios. Além disso, serão feitas avaliações de metabolômica por meio de ressonância magnética nuclear (NMR), e cromatografia gasosa (GC) e líquida (LC) acopladas à espectrômetro de massa (MS) em plantas de MT, mutantes hormonais e transgênicos, inoculados com biótipos-S e C, com intuito de observar o perfil metabólico em diferentes tipos de interação (compatível e incompatível) com o fungo M. perniciosa.",Ciências Biológicas,Genética,9.035093123062076,0.0,2
"Investigação do papel dos DNAs repetitivos na evolução cromossômica de espécies de Apareiodon (Characiformes, Parodontidae)",/pt/bolsas/138848/investigacao-do-papel-dos-dnas-repetitivos-na-evolucao-cromossomica-de-especies-de-apareiodon-chara/,12/15258-0,2012-12-01,2015-11-30,Ciências Biológicas - Genética - Genética Animal,Orlando Moreira Filho,/pt/pesquisador/4101/orlando-moreira-filho/,Josiane Baccarin Traldi,/pt/pesquisador/80390/josiane-baccarin-traldi/,"Centro de Ciências Biológicas e da Saúde (CCBS). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, Brasil",Parodontidae Evolução cromossômica Citogenética,"A família Parodontidae é composta por três gêneros: Parodon, Apareiodon e Saccodon, incluindo 32 espécies consideradas válidas. Estes animais encontram-se distribuídos na América do Sul e parte do Panamá, exceto nas bacias costeiras do Atlântico Sul no estado da Bahia, Patagônia e canal do rio Amazonas. De maneira geral, a macro-estrutura cariotípica da família mostra-se conservada, com número diplóide igual a 54 cromossomos, cariótipos constituídos por cromossomos metacêntricos (m), submetacêntricos (sm) e subtelocêntricos (st) e blocos heterocromáticos centroméricos em praticamente todos os cromossomos do complemento, bem como blocos terminais. Entretanto, verifica-se diversidade interespecífica na micro-estrutura cariotípica deste grupo. Análises cromossômicas em Parodontidae são encontradas apenas para espécies das bacias do Iguaçu, Paraguai, Paraná e São Francisco. A bacia hidrográfica do Tocantins-Araguaia encontra-se entre as maiores bacias do Brasil e apresenta um alto nível de endemismo de espécies de peixes. Contudo, estudos citogenéticos envolvendo espécies desta área ainda são restritos. Considerando o pequeno número de espécies pertencentes à família Parodontidae e a importância do endemismo da ictiofauna da bacia do Tocantins-Araguaia, estudos cromossômicos em espécies de Apareiodon desta bacia, inexistentes até o presente momento, auxiliarão na resolução de problemas taxonômicos da família, além de contribuírem para o estabelecimento de um modelo de evolução cromossômica neste grupo, enfatizando o papel dos DNAs repetitivos neste processo.",Ciências Biológicas,Genética,35.943243187745125,1.0,3
Perfil global de metilação do genoma na síndrome do melanoma familial,/pt/bolsas/139133/perfil-global-de-metilacao-do-genoma-na-sindrome-do-melanoma-familial/,12/13963-9,2012-11-01,2015-08-31,Ciências Biológicas - Genética - Genética Humana e Médica,Ana Cristina Victorino Krepischi,/pt/pesquisador/57117/ana-cristina-victorino-krepischi/,Érica Sara Souza de Araújo,/pt/pesquisador/78520/erica-sara-souza-de-araujo/,"A C Camargo Cancer Center. Fundação Antonio Prudente (FAP). São Paulo , SP, Brasil",Melanoma Metilação de DNA Linfócitos,"O melanoma é um tumor de pele agressivo com incidência crescente em todo o mundo. A maioria dos casos é esporádica, mas a chance de desenvolver este tipo de câncer aumenta significativamente em pessoas com histórico familial de melanoma. São dois os genes descritos com alta penetrância no melanoma familial: CDKN2A (que codifica p16 e p14) e CDK4. Contudo, uma proporção das famílias de predisposição a melanoma não apresenta mutações nestes genes, de maneira que a maior parte dos casos de suscetibilidade hereditária ao melanoma permanece sem etiologia definida. A metilação do DNA tem sido caracterizada como um importante fator epigenético afetando o desenvolvimento de tumores. É bem estabelecido que células tumorais apresentam padrão alterado de metilação do genoma (epimutações) em relação ao tecido normal de origem, o que ocasiona expressão gênica aberrante. Mais recentemente, alguns estudos têm revelado a ocorrência de epimutações constitutivas como fator de suscetibilidade ao câncer. Diante da deficiência no conhecimento dos fatores genéticos associados ao melanoma familial e da importância da metilação do DNA na tumorigênese, é objetivo deste projeto avaliar como modificações no epigenoma de pacientes portadores da síndrome de melanoma familial, constitutivas ou não, podem contribuir com a patogênese deste tipo de câncer. A abordagem será estudar o padrão de metilação global de DNA nestes indivíduos, utilizando microarrays de alta resolução, para a identificação de genes com perfil aberrante de metilação e redes biológicas afetadas. Posteriormente, os genes significativamente afetados serão analisados quanto seu padrão de metilação e expressão em melanomas derivados destes pacientes. (AU)",Ciências Biológicas,Genética,33.93909525862954,1.0,4
Filogeografia de Dendrocincla turdina (aves: Dendrocolaptidae) e de Drymophila Squamata (aves: Thamnophilidae): subsidiando a reconstrução da história evolutiva de Passeriformes da Mata Atlântica,/pt/bolsas/138452/filogeografia-de-dendrocincla-turdina-aves-dendrocolaptidae-e-de-drymophila-squamata-aves-thamn/,12/11678-5,2012-10-01,2014-06-30,Ciências Biológicas - Genética - Genética Animal,Cristina Yumi Miyaki,/pt/pesquisador/487/cristina-yumi-miyaki/,Ana Cristina Fazza,/pt/pesquisador/181533/ana-cristina-fazza/,"Instituto de Biociências (IB). Universidade de São Paulo (USP). São Paulo , SP, Brasil",Diversidade genética Passeriformes Filogeografia,"Compreender a origem e a diversificação dos táxons é umas das questões mais fascinantes em biologia. A Mata Atlântica é um bioma megadiverso e altamente ameaçado cuja história evolutiva das espécies que aí ocorrem ainda é pouco conhecida. Algumas hipóteses têm sido propostas para explicar a origem da diversificação desses organismos, sem contudo haver um consenso sobre qual ou quais teriam sido mais importantes. O intuito do presente projeto é estudar a estrutura filogeográfica de duas espécies de passeriformes endêmicos da Mata Atlântica, Dendrocincla turdina e Drymophila squamata, e verificar se existe congruência entre os processos históricos que moldaram as suas estruturas genéticas atuais.",Ciências Biológicas,Genética,20.928561161420152,0.0,5
Transplante autólogo de células-tronco modificadas com o gene do colágeno VII sob o controle do promotor Scavanger para tratamento de Epidermólise bolhosa distrófica,/pt/bolsas/137407/transplante-autologo-de-celulas-tronco-modificadas-com-o-gene-do-colageno-vii-sob-o-controle-do-prom/,12/09627-3,2012-09-01,2015-12-31,Ciências Biológicas - Genética - Genética Humana e Médica,Sang Won Han,/pt/pesquisador/5365/sang-won-han/,Priscila Keiko Matsumoto Martin,/pt/pesquisador/179418/priscila-keiko-matsumoto-martin/,"Centro de Terapia Celular e Molecular. Universidade Federal de São Paulo (UNIFESP). Campus São Paulo. São Paulo , SP, Brasil",Epidermólise bolhosa Células-tronco Terapia genética,"A epidermólise bolhosa distrófica recessiva (EBDR) é uma doenças causada pela ausência do colágeno tipo VII, na qual a pele dos pacientes apresenta uma série de bolhas induzidas por traumas, além de feridas e processos inflamatórios espalhados por todo o corpo, tanto internamente como externamente. Outros problemas secundários são frequentes nos pacientes portadores de EBDR: contratura nas juntas, deformidades nas mãos e pés, desnutrição, retardo no crescimento, graves problemas dentários e o surgimento de carcinoma espinocelular em estágios mais avançados da doença. Como os pacientes EBDR sofrem exclusivamente da deficiência do colágeno VII, a solução lógica seria fornecer esta proteína continuamente na pele/epitélio durante toda a vida deles; mas como esta solução pode se tornar realidade? Um grande entrave para a terapia gênica da EBDR é que a alteração genética está disseminada por todas as células do paciente. Corrigir todas as células da pele além de ser inviável, implicaria na necessidade de uma expressão de colágeno sistêmica. Entretanto, a produção da proteína de colágeno VII circulante poderia causar uma série de efeitos inflamatórios em diversos órgãos, devido à ativação de plaquetas e fibronectina. Assim, é desejável que a expressão de colágeno VII seja específica para a pele e de maneira controlada, como ocorre naturalmente em nosso corpo. A nossa proposta é utilizar as células-tronco da medula óssea modificadas para expressar o gene COL7A1 sob o controle de promotores de macrófagos em associação com a terapia in situ utilizando fibroblastos modificados com o gene COL7A1 através promotores constitutivos na pele. Assim, espera-se que a expressão de colágeno VII ocorra especificamente na pele e nos epitélios, que sofrem de inflamação crônica devido à formação de bolhas e atraem macrófagos a este local, durante toda a vida do animal e quando inflamação estiver ativa. Para que este trabalho seja mais fácil de levar para fase clínica no futuro, os vetores serão desenhados na base de vetores de plasmídeo com Sleeping Beauty. Embora haja vários trabalhos mostrando o transplante de medula óssea para tratamento de diversas doenças, a nossa proposta de modificar estas células para expressar um gene terapêutico numa condição e local específico é inédita, e que poderá ser traduzida para outras patologias.",Ciências Biológicas,Genética,39.951539045976304,0.0,6
Desenvolvimento de metodologias para prospecção e imputação de marcadores SNP a partir de dados de resequenciamento de genomas complexos,/pt/bolsas/136661/desenvolvimento-de-metodologias-para-prospeccao-e-imputacao-de-marcadores-snp-a-partir-de-dados-de-r/,12/05002-9,2012-09-01,2015-01-31,Ciências Biológicas - Genética - Genética Molecular e de Microorganismos,Michel Eduardo Beleza Yamagishi,/pt/pesquisador/37630/michel-eduardo-beleza-yamagishi/,Joaquim Manoel da Silva,/pt/pesquisador/177175/joaquim-manoel-da-silva/,"Instituto de Biologia (IB). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brasil",Biologia computacional Genômica,"Nos últimos anos ocorreram importantes avanços nos estudos de análise de Associação com Cobertura Ampla do Genoma (GWAS), os quais descobriram um grande número de associações entre genótipos e doenças complexas humanas. A imputação de genótipos tem se mostrado uma importante ferramenta a ser utilizada na GWAS, podendo aumentar o seu poder e facilitar a combinação de resultados entre os estudos por meio de meta-análise. Este trabalho tem como objetivo desenvolver metodologias para prospecção de marcadores SNPs e imputação de genótipos em GWAS a partir de dados de resequenciamento de genomas complexos. Pretende-se analisar e avaliar os diferentes métodos estatísticos para prospecção e imputação, discutindo os fatores que influenciam o desempenho da imputação e da associação de testes em SNPs imputados. A imputação de genótipos abordada neste estudo junta-se aos demais esforços empreendidos pela Rede Genômica Animal da Embrapa na identificação de genes responsáveis pelas variações nas características de importância econômica.",Ciências Biológicas,Genética,28.978007761966364,1.0,7
"Estudos moleculares sobre a interação cana-de-açúcar x Sporisorium scitamineum, o agente causal do carvão",/pt/bolsas/136694/estudos-moleculares-sobre-a-interacao-cana-de-acucar-x-sporisorium-scitamineum-o-agente-causal-do-c/,12/09524-0,2012-09-01,2014-06-30,Ciências Biológicas - Genética - Genética Vegetal,Maria Lúcia Carneiro Vieira,/pt/pesquisador/3159/maria-lucia-carneiro-vieira/,Alessandra Carolina Palhares,/pt/pesquisador/177201/alessandra-carolina-palhares/,"Escola Superior de Agricultura Luiz de Queiroz (ESALQ). Universidade de São Paulo (USP). Piracicaba , SP, Brasil",Doenças de plantas Cana-de-açúcar Carvão (doença de planta) Sporisorium scitamineum Interações hospedeiro-patógeno Análise de sequência de RNA,"A cana-de-açúcar (Saccharum spp) é uma espécie de elevada importância econômica, sendo o Brasil o maior produtor mundial. Algumas doenças constituem uma das principais causas que limitam o rendimento da cultura e a qualidade de seus produtos. O carvão da cana-de-açúcar, causado pelo fungo Sporisorium scitamineum, é de importância histórica para a cana, devido a sua ocorrência generalizada no Brasil. O plantio de variedades resistentes é a principal medida de controle para se evitar a disseminação da doença. Entretanto, a existência de condições ótimas para a disseminação fez com que se registrasse a sua ocorrência nos anos de 2010 e 2011. Pouco se sabe a respeito dos mecanismos moleculares da interação com a planta durante o estabelecimento, desenvolvimento e disseminação do carvão. Durante o ciclo de vida do fungo, a interação com a planta é essencial para o seu desenvolvimento. Estudos têm sido realizados buscando identificar os genes diferencialmente expressos em cana-de-açúcar infectadas com S. scitamineum através de cDNA-AFLP, e pela identificação de proteínas que apresentam diferenças na abundância sob o ataque do patógeno. Entretanto, devido às limitações das técnicas, esses estudos não abrangem todo o repertório gênico envolvido na resposta à infecção. Estudos da interação patógeno-hospedeiro são importantes porque revelam um conjunto de mecanismos pelos quais as plantas reduzem a eficiência da patogenicidade. Nesse sentido, a proposta desse trabalho é a identificação e a caracterização dos genes expressos em cana-de-açúcar após a infecção com S. scitamineum, pela técnica do RNAseq. (AU)",Ciências Biológicas,Genética,21.91420768393601,1.0,8
Análise genômica para a compreensão dos mecanismos genéticos etiológicos das fissuras labiopalatinas na população brasileira,/pt/bolsas/134014/analise-genomica-para-a-compreensao-dos-mecanismos-geneticos-etiologicos-das-fissuras-labiopalatinas/,11/23416-2,2012-07-01,2015-12-30,Ciências Biológicas - Genética - Genética Humana e Médica,Maria Rita dos Santos e Passos Bueno,/pt/pesquisador/106581/maria-rita-dos-santos-e-passos-bueno/,Luciano Abreu Brito,/pt/pesquisador/80834/luciano-abreu-brito/,"Instituto de Biociências (IB). Universidade de São Paulo (USP). São Paulo , SP, Brasil",Fenda labial Exoma,"Fissura labial com ou sem fissura no palato não sindrômica (FL±P NS) é uma doença complexa e representa a malformação facial mais comum ao nascimento. Acredita-se que a etiologia das FL±Ps NS seja em grande parte influenciada por componentes genéticos, porém os únicos loci de susceptibilidade amplamente corroborados até o momento (gene IRF6 e região 8q24) conferem um risco pequeno. Considerando os insucessos dos estudos de ligação e associação em identificar variantes que expliquem a alta herdabilidade da doença, e admitindo a existência de variantes raras de grande efeito que podem estar sendo perdidas pelas abordagens atualmente realizadas, estamos propondo o sequenciamento do exoma em pelo menos 9 indivíduos de três famílias nas quais a FL±Ps NS é recorrente. As variantes identificadas serão validadas pelo método Sanger, além de testadas em um estudo de caso-controle com amostra ampliada. (AU)",Ciências Biológicas,Genética,41.95568697509189,0.0,9
