title,link,Processo,start_vigencia,end_vigencia,Area,Orientador,Orientador_link,Aluno,Aluno_link,Institution,assunto,resumo,Area-Nivel_1,Area-Nivel_2,vigencia_months,label,PIndex
Estabilidade da função pulmonar com PEEP escolhida por manobra de titulação rápida versus lenta durante uma estratégia ventilatória protetora em modelo suíno,/pt/bolsas/151060/estabilidade-da-funcao-pulmonar-com-peep-escolhida-por-manobra-de-titulacao-rapida-versus-lenta-dura/,13/16257-0,2014-05-01,2015-07-31,Ciências da Saúde - Medicina - Clínica Médica,Marcelo Britto Passos Amato,/pt/pesquisador/679/marcelo-britto-passos-amato/,Tatiana de Arruda Ortiz,/pt/pesquisador/672233/tatiana-de-arruda-ortiz/,"Faculdade de Medicina (FM). Universidade de São Paulo (USP). São Paulo , SP, Brasil",Pneumologia Tomografia de impedância elétrica Respiração artificial,"Introdução: A manobra de recrutamento alveolar (MRA) é utilizada nos casos de Síndrome do Desconforto Respiratório Agudo (SDRA) para abertura de unidades alveolares colapsadas nas regiões dependentes de gravidade, o que pode melhorar a oxigenação e reduzir o risco de lesão induzida pelo ventilador. Após a MRA, o adequado ajuste da PEEP permite manter alvéolos abertos. Ainda é controverso qual o modo mais adequado e prático de escolher a PEEP. A tomografia de impedância elétrica (TIE) tem se mostrado uma ferramenta útil à beira do leito para avaliar dinamicamente alterações pulmonares regionais, permitindo a escolha de uma PEEP que minimize tanto o colapso pulmonar nas regiões dependentes quanto a hiperdistensão nas regiões não-dependentes e, também, a avaliação da função pulmonar ao longo do tempo. Objetivos: Em modelo experimental de SDRA, 1) Comparar, através da TIE, o ajuste de PEEP por titulação decrescente de forma rápida (40 segundos em cada valor de PEEP) com a titulação decrescente da PEEP realizada de forma lenta (4 minutos em cada PEEP); 2) Verificar, através da TIE, a estabilidade pulmonar (evolução do colapso, complacência regional e shunt) durante 1 hora de ventilação mecânica em três valores de PEEP: menor PEEP, que pelo procedimento de titulação rápida, determina colapso iguais a 0, 1% e 3% da massa de tecido pulmonar; 3)Analisar as variáveis hemodinâmicas ao longo da titulação rápida e lenta, bem como durante a ventilação por 1 hora nas três situações; 4) Identificar qual a ""PEEP ótima"" pela titulação rápida e lenta, ou seja, a menor PEEP que ao longo do tempo, mantém estabilidade pulmonar.",Ciências da Saúde,Medicina,14.981827142241116,0.0,0
"Correlação entre ingestão de Aflatoxina B1 na dieta, expressão hepática de genes e proteínas relacionadas à hepatocarcinogênese e concentração de AFB1-adutos no soro, urina e fígado de Ratos Wistar",/pt/bolsas/146770/correlacao-entre-ingestao-de-aflatoxina-b1-na-dieta-expressao-hepatica-de-genes-e-proteinas-relacio/,13/04627-8,2013-11-01,2014-10-19,Ciências da Saúde - Medicina,Fernando Silva Ramalho,/pt/pesquisador/91303/fernando-silva-ramalho/,Mauricio de Rosa Trotta,/pt/pesquisador/61719/mauricio-de-rosa-trotta/,"Faculdade de Medicina de Ribeirão Preto (FMRP). Universidade de São Paulo (USP). Ribeirão Preto , SP, Brasil",Biomarcadores Aflatoxinas,"As aflatoxinas são micotoxinas produzidas por fungos do gênero Aspergillus, que encontram no Brasil condições ideais para o seu crescimento, principalmente como contaminante de grãos e cereais. Essas substâncias, sobretudo a aflatoxina B1 (AFB1), possuem notório poder toxigênico. A AFB1 é altamente mutagênica e potente carcinógeno hepático para diferentes espécies, incluindo o ser humano. Após ingestão oral da AFB1, ocorre sua biotransformação no fígado e geração de metabólitos (adutos) que podem estar presentes em diferentes tecidos e fluidos corporais. Entretanto, ainda não foram estabelecidas correlações entre a ingestão de diferentes concentrações de AFB1 na dieta e os níveis de seus metabólitos no fígado, soro e urina, bem como a intensidade da expressão hepática de genes e proteínas relacionadas à hepatocarcinogênese. Ratos machos Wistar receberão AFB1 em diferentes doses por via oral, constituindo quatro grupos experimentais. Um grupo adicional receberá, além da AFB1, dieta contendo etanol a 5%. Animais-controle não serão expostos à micotoxina nem ao etanol. Após exposição crônica por 90 dias, os animais serão eutanasiados para a coleta de soro e parênquima hepático. A urina será coletada durante a última semana de exposição à toxina. Serão realizadas determinações dos níveis dos adutos da AFB1 no soro, na urina e no fígado, além das alterações na expressão hepática de genes e proteínas relacionadas ao processo de hepatocarcinogênese (p53, p21WAF1/Cip1, p27Kip1, Rb, p16INK4D, b-catenina, ciclina D1, proibitina e glutationa-S-transferase-p1) por meios das técnicas de imuno-histoquímica, Western-blotting e PCR em tempo real. Alterações histopatológicas hepáticas e bioquímicas séricas também serão avaliadas.",Ciências da Saúde,Medicina,11.564919197519455,0.0,1
"Correção via oral da deficiência de ferro em pacientes com insuficiência cardíaca crônica: estudo clínico, placebo-controle, duplo-cego e randomizado de eficácia",/pt/bolsas/144257/correcao-via-oral-da-deficiencia-de-ferro-em-pacientes-com-insuficiencia-cardiaca-cronica-estudo-cl/,13/03301-1,2013-09-01,2015-07-31,Ciências da Saúde - Medicina - Clínica Médica,Marcus Vinicius Simões,/pt/pesquisador/3596/marcus-vinicius-simoes/,Jaqueline Rodrigues de Souza Gentil,/pt/pesquisador/667257/jaqueline--rodrigues--de--souza--gentil/,"Faculdade de Medicina de Ribeirão Preto (FMRP). Universidade de São Paulo (USP). Ribeirão Preto , SP, Brasil",Doença crônica Insuficiência cardíaca Anemia,"Estudo clínico, duplo-cego, placebo-controle e randomizado com objetivo investigar a eficácia da correção de ferro via oral em pacientes portadores de insuficiência cardíaca crônica e estável com deficiência de ferro e os mecanismos centrais e periféricos implicados na melhora da capacidade funcional após a intervenção. Serão incluídos pacientes com insuficiência cardíaca crônica, estável e sintomática (classe funcional da NYHA II ou III), com diagnóstico de deficiência de ferro (ferritina < 100 ng/dL ou ferritina entre 100 - 300 ng/dL com saturação de transferrina < 20%) acompanhados na Clínica de Insuficiência Cardíaca do HCFMRP. Os pacientes recrutados (n = 36) serão selecionados randomicamente, na razão 2:1, para tratamento com 60 mg de ferro elementar via oral (n = 24), na forma de 180 mg de composto de sulfato ferroso, ou administração de placebo (n = 12), na forma de 180 mg de amido, 3x/dia, por 4 meses. O desfecho primário investigado será a variação da saturação de transferrina, entre a condição basal e após intervenção, considerando como melhora um aumento de 10 pontos percentuais do seu valor inicial. Os desfechos secundários do estudo serão a variação dos estoques de ferro, índices hematimétricos, ativação neuro-humoral, função sistólica ventricular esquerda, capacidade funcional, ergorreflexo e escore de qualidade de vida. A análise dos resultados será feita com nível de significância de 5%. O estudo recebeu aprovação do Comitê de Ética em Pesquisa do HCFMRP-USP. (AU)",Ciências da Saúde,Medicina,22.93270909053573,0.0,2
Identificação de marcadores lipidômicos com potencial diagnóstico em carcinoma hepatocelular,/pt/bolsas/143213/identificacao-de-marcadores-lipidomicos-com-potencial-diagnostico-em-carcinoma-hepatocelular/,13/03701-0,2013-07-01,2015-07-31,Ciências da Saúde - Medicina,Celso Francisco Hernandes Granato,/pt/pesquisador/4734/celso-francisco-hernandes-granato/,Ana Maria Passos,/pt/pesquisador/665394/ana-maria-passos/,"Escola Paulista de Medicina (EPM). Universidade Federal de São Paulo (UNIFESP). Campus São Paulo. São Paulo , SP, Brasil",Hepatite crônica Espectrometria de massas Biomarcadores Carcinoma hepatocelular,"Apesar dos avanços no tratamento do carcinoma hepatocelular nos últimos anos, ele permanece como a terceira causa de morte relacionada ao câncer em todo o mundo. Assim, evidencia-se a necessidade e importância da busca de biomarcadores para o diagnóstico precoce da doença. Técnicas de lipidômica associadas à espectrometria de massas podem ampliar o conhecimento dos mecanismos envolvidos no início e progressão do carcinoma hepatocelular com potencial aplicação na prática clínica. A combinação de marcadores lipidômicos com fenótipos clínicos pode fornecer biomarcadores com potencial diagnóstico para o carcinoma hepatocelular, o que possibilitará, além do diagnóstico precoce de casos com consequente maior chance de sucesso terapêutico e cura, um melhor entendimento da evolução dos pacientes acometidos. (AU)",Ciências da Saúde,Medicina,24.96971190373519,1.0,3
"Pesquisa de mutações nos genes PTGDS, MAP3K1, FGF9/FGFR2 da alça de amplificação do gene SOX9 em pacientes portadores de disgenesia gonadal 46,XY",/pt/bolsas/142473/pesquisa-de-mutacoes-nos-genes-ptgds-map3k1-fgf9fgfr2-da-alca-de-amplificacao-do-gene-sox9-em-pac/,12/19543-1,2013-06-01,2015-08-31,Ciências da Saúde - Medicina - Clínica Médica,Sorahia Domenice,/pt/pesquisador/37281/sorahia-domenice/,Aline Zamboni Machado,/pt/pesquisador/76327/aline-zamboni-machado/,"Faculdade de Medicina (FM). Universidade de São Paulo (USP). São Paulo , SP, Brasil",Endocrinologia,"Nos mamíferos o gene Sox9 tem um papel preponderante no processo de desenvolvimento da gônada embrionária masculina, fato que é evidenciado pela existência de diversos mecanismos de amplificação da alça de retrocontrole positivo do Sox9. Os genes Ptgds, Map3k1, Fgf9 e seu receptor Fgfr2 participam do processo de sustentação da via masculina do desenvolvimento gonadal, via amplificação do Sox9. As diversas evidências experimentais da participação desses genes no processo do desenvolvimento da gônada masculina sugerem que a disfunção destes, causaria anormalidades na dinâmica da determinação testicular e o provável desenvolvimento de gônadas disgenéticas. A existência da amplificação da retroalimentação entre os genes Sox9 e L-Pgds foi confirmada por estudos em modelos animais, porém até o momento, nenhuma mutação em humanos foi descrita. Recentemente, mutações no gene MAP3K1 foram descritas em pacientes não sindrômicos com disgenesia gonadal 46,XY. O estudo funcional das proteínas MAP3K1 mutadas identificou alteração na fosforilação de alvos abaixo da cascata como p38 e ERK1/2 e um aumento de ligação da proteína RHOA ao complexo MAP3K. Em modelos animais, a presença de anomalias no desenvolvimento gonadal foi relacionada à perda de função dos genes Fgf9 e Fgfr2. Estes relatos motivaram a pesquisa de mutações inativadoras em ambos os genes em pacientes com disgenesia gonadal 46,XY desenvolvida como dissertação de mestrado. Como resultado desta pesquisa, uma nova variante, c.1358 C>T (p.Ser453Leu), localizada no exon 10 do FGFR2 foi identificada em heterozigose em duas irmãs com DGP 46,XY e na mãe. Esta variante não foi encontrada em 147 indivíduos 46,XY controles estudados. O objetivo deste projeto é avaliar a participação dos genes PTGDS, MAP3K1 e FGF9/FGFR2, envolvidos na via de retrocontrole positivo do SOX9, no desenvolvimento testicular anormal de pacientes portadores de DDS 46,XY. A presença de mutações nos genes PTGDS e MAP3K1 será pesquisada em 33 pacientes portadores de DDS 46,XY por anormalidades no desenvolvimento gonadal nos quais os genes FGF9 e FGFR2 já foram estudados. O estudo funcional da nova variante alélica p.Ser453Leu do FGFR2 identificada no estudo prévio será realizado em colaboração com o Prof. Dr. Vincent Harley do Prince Henry´s Institute em Melbourne na Austrália. Este estudo compreenderá a análise ""in vivo"" e ""in vitro"" do FGFR2 mutado. As possíveis repercussões nas atividades celulares de apoptose no tecido gonadal, secundárias às modificações estruturais e conformacionais da nova proteína FGFR2, serão avaliadas por estudos histológicos dos tecidos parafinizados das pacientes portadoras da variante alélica utilizando-se imunohistoquímica com anticorpos anti-caspase 3 e a técnica de TUNEL.",Ciências da Saúde,Medicina,26.97385983285077,0.0,4
Avaliação histológica e histomorfométrica do reparo ósseo após a aplicação de látex natural e diferentes tipos de enxertos ósseos em calvárias de Ratos Wistar,/pt/bolsas/141497/avaliacao-histologica-e-histomorfometrica-do-reparo-osseo-apos-a-aplicacao-de-latex-natural-e-difere/,12/22532-1,2013-04-01,2015-07-31,Ciências da Saúde - Medicina - Cirurgia,João Paulo Mardegan Issa,/pt/pesquisador/45241/joao-paulo-mardegan-issa/,Bruna Gabriela dos Santos Kotake,/pt/pesquisador/90627/bruna-gabriela-dos-santos-kotake/,"Faculdade de Medicina de Ribeirão Preto (FMRP). Universidade de São Paulo (USP). Ribeirão Preto , SP, Brasil",Transplante ósseo Enxerto ósseo Imuno-histoquímica Hevea brasiliensis Proteínas Histologia Radiografia,"A proteína extraída da seringueira (Hevea brasiliensis) possui propriedades interessantes com relação ao reparo ósseo e de tecidos moles, sendo biocompatível e de grande potencial angiogênico. O presente trabalho tem como objetivo avaliar o processo de reparação óssea cicatricial em defeitos ósseos em calvárias de ratos, utilizando-se diferentes tipos de enxertos ósseos e a proteína P-1 extraída da Hevea brasiliensis (látex natural) e a associação entre esses enxertos e esta proteína, através de métodos histológicos e estereológicos, radiográficos, imunoistoquímicos, bioquímicos e estatísticos para a análise. Serão utilizados 112 ratos Wistar albinos, machos (250g) que serão divididos em 8 grupos, cada um deles com um período de espera até o sacrifício de 4 e 6 semanas. Os grupos serão os seguintes: 1) enxerto ósseo autólogo particulado; 2) enxerto ósseo homólogo particulado; 3) enxerto ósseo heterólogo (osso bovino liofilizado); 4) enxerto ósseo autólogo particulado + 5 µg P-1; 5) enxerto ósseo homólogo particulado + 5 µg P-1; 6) enxerto ósseo heterólogo (osso bovino liofilizado) + 5 µg P-1; 7) 5 µg P-1; 8) defeito ósseo cirúrgico apenas. Os resultados relativos a neoformação óssea serão avaliados pelos métodos apresentados, e os dados resultantes serão submetidos a exame estatístico",Ciências da Saúde,Medicina,27.95950635536664,0.0,5
Marcadores da imunomodulação no sangue materno e fetal e nas placentas de mães diabéticas ou com hiperglicemia gestacional leve,/pt/bolsas/141060/marcadores-da-imunomodulacao-no-sangue-materno-e-fetal-e-nas-placentas-de-maes-diabeticas-ou-com-hip/,12/24212-4,2013-03-01,2014-05-25,Ciências da Saúde - Medicina - Saúde Materno-infantil,Iracema de Mattos Paranhos Calderon,/pt/pesquisador/6874/iracema-de-mattos-paranhos-calderon/,Cristiane de Castro Pernet Hara,/pt/pesquisador/508477/cristiane-de-castro-pernet-hara/,"Faculdade de Medicina (FMB). Universidade Estadual Paulista (UNESP). Campus de Botucatu. Botucatu , SP, Brasil",Citocinas Diabetes mellitus Anticorpos,"INTRODUÇÃO / JUSTIFICATIVA - O diabete e a hiperglicemia associados à gestação afetam o desenvolvimento do sistema imune materno prejudicando o desenvolvimento do sistema imunológico do recém-nascido, por mecanismos ainda não totalmente esclarecidos. OBJETIVO - identificar alterações no sistema imunológico, relacionadas ao perfil dos marcadores da imunomodulação - imunoglobulinas, citocinas e células envolvidas na regulação e manutenção da gestação, presentes em diferentes compartimentos (mãe, placenta e recém-nascido) de mães com diabete ou hiperglicemia gestacional leve. MÉTODO - Estudo de corte transversal, onde serão incluídas gestantes, e seus recém-nascidos, portadoras de diabete, gestacional ou clínico, e de hiperglicemia gestacional leve. Amostras de sangue materno serão colhidas a partir da 37ª. Semana de gestação, antes do início do trabalho de parto, e amostras de sangue do cordão e do tecido placentário serão colhidas no parto. As amostras serão processadas de acordo com protocolos de análises específicas. Serão avaliadas - concentrações de IgG total (método de turbidimetria); expressão e análise de ligação do receptor FcRn para IgG na placenta (citometria de fluxo e imunobloting); expressão de FAS Ligante; Imunofenotipagem e quantificação de citocinas (citometria de fluxo). As concentrações placentárias de IgG total será relacionadas com marcadores do crescimento fetal - glicose e insulina do cordão, peso e índice ponderal do recém-nascido, peso e índice placentário, relação Peso/IG e macrossomia fetal. Os resultados serão submetidos à análise estatística, considerando-se p < 0,05 como limite de significância estatística.",Ciências da Saúde,Medicina,14.784697837737939,1.0,6
Variações genômicas como fatores de risco para o desenvolvimento e progressão da endometriose,/pt/bolsas/141012/variacoes-genomicas-como-fatores-de-risco-para-o-desenvolvimento-e-progressao-da-endometriose/,12/22394-8,2013-03-01,2015-12-31,Ciências da Saúde - Medicina - Clínica Médica,Denise Maria Christofolini,/pt/pesquisador/171073/denise-maria-christofolini/,Fernanda Abani Mafra,/pt/pesquisador/82239/fernanda-abani-mafra/,"Faculdade de Medicina do ABC (FMABC). Organização Social de Saúde. Fundação do ABC. Santo André , SP, Brasil",Marcadores genéticos Reprodução humana Sistema imune Polimorfismo genético Endometriose,"A endometriose é uma doença inflamatória crônica e uma das doenças ginecológicas benignas mais comuns, sendo considerada como uma das principais causas de infertilidade e dor pélvica crônica na mulher. A doença é caracterizada como a presença de células endometriais fora da cavidade uterina, podendo se instalar em peritônio, septo reto-vaginal, ovários, bexiga, ligamento útero-sacro entre outros.Há várias teorias para explicar o desenvolvimento da endometriose. Teorias imunológicas sugerem que alterações no sistema imune poderiam impedir a capacidade de eliminar o endométrio que reflui para a cavidade pélvica, uma vez que alterações na imunidade mediada pelas células T poderiam facilitar a implantação de fragmentos endometriais ou células em localizações ectópicas. As causas genéticas da endometriose ainda não foram completamente esclarecidas. A doença é poligênica e influenciada por fatores ambientais como os níveis de estrógeno e estilo de vida da mulher. A investigação de marcadores genéticos relacionados à função imunológica e reprodutiva e a investigação de interações gênicas têm revelado associação entre mutações e polimorfismos genéticos e o desenvolvimento de endometriose em diversos estudos, embora o perfil genético exato que desencadeia a susceptibilidade para o desenvolvimento e progressão da endometriose ainda seja desconhecido. Recentemente, uma nova classe de mutações genéticas, as CNVs (copy number variation) tem se mostrado importante no desenvolvimento de doenças autoimunes. Observa-se que a presença de cópias a mais ou a menos de determinados segmentos gênicos como o C4 do complemento e CCL3L1 podem estar associadas ao desenvolvimento de doenças que afetam o sistema imunológico como o HIV, Lúpus Eritematoso Sistêmico e Artrite Reumatoide e talvez a endometriose. A análise de CNVs requer a utilização de metodologias modernas de avaliação do DNA como os arrays genômicos, que permitem por meio da análise de múltiplos loci genômicos a análise de milhares de polimorfismos e por meio desta a determinação do número de cópias das sequencias genômicas.Além disso, muitas pacientes com endometriose, atendidas no nosso serviço, não demonstraram a presença de nenhum polimorfismo dos vários genes estudados, podendo apresentar a doença por uma mutação ainda não identificada. Uma abordagem ""Genome Wide"" favoreceria a investigação destas pacientes, indicando novos loci associados à endometriose.Assim, a introdução de novas estratégias de investigação pode auxiliar no melhor conhecimento dos fatores genéticos que levam ao desenvolvimento da endometriose, sua progressão e associação com a dor e a infertilidade.",Ciências da Saúde,Medicina,34.004805026797264,1.0,7
Exposição de pacientes com síndrome de dor miofascial à capsaicina: desenvolvimento de forma farmacêutica de uso tópico com possível ação analgésica,/pt/bolsas/140169/exposicao-de-pacientes-com-sindrome-de-dor-miofascial-a-capsaicina-desenvolvimento-de-forma-farmace/,12/22294-3,2013-03-01,2015-02-28,Ciências da Saúde - Medicina,Guilherme Antonio Moreira de Barros,/pt/pesquisador/92676/guilherme-antonio-moreira-de-barros/,Valeria Romero Vieira da Motta,/pt/pesquisador/309531/valeria-romero-vieira-da-motta/,"Faculdade de Medicina (FMB). Universidade Estadual Paulista (UNESP). Campus de Botucatu. Botucatu , SP, Brasil",Dor Anestesiologia Capsaicina,"A síndrome de dor miofascial (SDM) é uma das causas mais comuns de dor musculoesquelética. Esta dor pode se originar em um único músculo ou pode envolver vários músculos, gerando padrões complexos e variáveis de dor. Neste projeto, como alternativa para o tratamento da SDM utilizaremos a capsaicina. A capsaicina é um produto natural obtido da pimenta vermelha, e tem sido empregada para o alívio da dor. O objetivo deste projeto será avaliar a possível ação analgésica de uma forma farmacêutica analgésica semi-sólida (creme) de alta concentração de capsaicina em pacientes com síndrome de dor miofascial, além de investigar nessa população a possível ação analgésica e ocorrência de efeitos adversos relacionados ao emprego tópico da capsaicina aplicada em pacientes portadores de SDM, será também avaliada a concentração da capsaicina no plasma sanguíneo dos pacientes com SDM submetidos ao tratamento. Na etapa inicial do projeto serão desenvolvidas as formulações Fc1 (fórmula creme base) e Fc2 (fórmula creme + capsaicina). Os produtos serão envasados em embalagens apropriadas para formas farmacêuticas de uso tópico ou local, serão submetidos aos testes de análises microbiológicas e físico-químicas para avaliação da qualidade do produto conforme preconiza ANVISA, e após serão codificados visando obter melhor organização nos testes. O estudo será desenvolvido no Serviço de Terapia Antálgica e Cuidados Paliativos (TACP), localizado no Hospital das Clínicas da FMB-Unesp, referência para o tratamento de síndromes dolorosas. Sempre em âmbito hospitalar, os pacientes serão divididos em dois grupos, num total de 40 pacientes, sendo 20 pacientes identificados por Grupo PLC receberão o creme base, e outros 20 pacientes identificados por Grupo CPS receberão o creme incorporado à capsaicina 8%. Será escolhido pelo paciente o PG que mais lhe provoca desconforto e dor à palpação para que seja realizada a aplicação tópica do produto. Os produtos tópicos (creme base e creme incorporado à capsaicina 8%) serão aplicados na quantidade de 10g por 30 minutos. A administração dos cremes será realizada em via tópica ou local, com completa espalhabilidade na área delimitada. Localizada imediatamente superior na superfície cutânea, correspondente ao PG de maior dor (diâmetro aproximado de 2cm), através de profissional capacitado e treinado. Todos os equipamentos de proteção individual (EPI's) serão oferecidos para a segurança do profissional. Após a aplicação, o produto será imediatamente retirado, assim como serão avaliados parâmetros de toxicidade e tolerabilidade à pele. Anteriormente à aplicação dos cremes do estudo, o paciente receberá aplicação tópica de anestésico (EMLAâ) por período de 50 minutos na área correspondente aos PGs.A dor será quantificada imediatamente, antes e durante a aplicação do produto, assim como, após a sua retirada. Para tal, será empregado como instrumento de avaliação a escala numérica verbal (0 a 10) em que 0 significa ausência de dor, e 10 a pior dor imaginável. Após a retirada do produto, a área de aplicação será higienizada por uma solução de limpeza própria, não-iônico e de pH fisiológico. Ao finalizar a higienização serão coletadas dos pacientes amostras sanguíneas para quantificação da concentração plasmática da capsaicina em HPLC e encaminhadas ao Centro de Análises Toxicológicas (CEATOX - UNESP). Como a capsaicina está presente em muitos alimentos ingeridos rotineiramente sob a forma de tempero (pimenta), será investigada em protocolo clínico a dieta das últimas 6h de todos os pacientes, mesmo os do grupo PLC - o que servirá de referencial para a análise do grupo CPS. Depois de um período de 2 meses, os pacientes retornarão ao TACP e serão novamente questionados sobre sua condição dolorosa. O paciente não será avisado do tratamento designado, até que o estudo seja concluído.Caso haja retorno da dor, nova avaliação clínica e hipótese diagnóstica deve ser realizada.",Ciências da Saúde,Medicina,23.951210497135463,1.0,8
Efeitos da ingestão de simbiótico e indol 3- carbinol sobre o processo de carcinogênese química de cólon em Ratos Wistar alimentados com dieta contendo heme,/pt/bolsas/139944/efeitos-da-ingestao-de-simbiotico-e-indol-3-carbinol-sobre-o-processo-de-carcinogenese-quimica-de-c/,11/23699-4,2013-02-01,2015-10-31,Ciências da Saúde - Medicina - Anatomia Patológica e Patologia Clínica,Luís Fernando Barbisan,/pt/pesquisador/33732/luis-fernando-barbisan/,Nelci Antunes de Moura,/pt/pesquisador/74916/nelci-antunes-de-moura/,"Instituto de Biociências (IBB). Universidade Estadual Paulista (UNESP). Campus de Botucatu. Botucatu , SP, Brasil",Quimioprevenção Simbióticos Heme,"O presente estudo tem como objetivo avaliar o efeito preventivo da administração de simbiótico (prebiótico inulina associado ao probiótico Bifidobacterium bifidus) e do indol-3-carbinol sobre o processo de carcinogênese química de cólon induzido pela 1,2-dimetilhidrazina (DMH) em ratos Wistar alimentados com dieta contendo heme. Os animais serão divididos em sete grupos com 10 a 22 animais cada, os animais dos grupos 1 a 6 e do grupo 7 receberão quatro injeções subcutâneas de DMH (40 mg/Kg) e solução de EDTA (veículo da DMH) nas duas semanas iniciais do experimento, respectivamente. Os grupos 1 e 7 receberão ração basal até o final do experimento, os grupos 2 a 6 receberão respectivamente ração basal com adição de heme (0,32 g/kg de ração), ração basal com adição de heme (0,32 g/kg de ração) + simbiótico (inulina + Bifidobacterium bifidum 2,5 x 1010 de UFC por kg de ração), ração basal com adição de heme (0,32 g/kg de ração) + indol-3-carbinol (2g/kg de ração), ração basal + simbiótico (inulina + Bifidobacterium bifidum 2,5 x 1010 de UFC de ração) e ração basal + indo- 3-carbinol (2g/kg de ração). Os animais serão sacrificados na 12a e 22a semanas do experimento. O cólon (medial e distal) será removido e mergulhado em fixador (24 h) e armazenado em álcool 70%. O cólon será corado com azul de metileno a 2% para detecção estereoscópica de FCA (incidência e multiplicidade) e após a análise de FCA os cólons serão processados para obtenção de cortes histológicos para classificação do grau de displasia dos FCA e detecção da expressão imunoistoquímica de b-catenina (FCA b-catenina positivos), Ki-67 e caspase 3 clivada. Amostras de tumores coletados ao final da 22a semana do experimento serão congeladas em nitrogênio líquido e armazenadas em biofreezer -80 oC. A expressão de genes que regulam vias de proliferação celular e apoptose será analisada nas amostras tumorais pela técnica Taqman® Low Density Array (TLDA). Amostras de tumores serão mergulhado em fixador (24 h) e armazenado em álcool 70% e posteriormente processado para obtenção de cortes histológicos e expressão imunoistoquímica para b-catenina (FCA b-catenina positivos), Ki-67 e caspase 3 clivada e demais marcadores selecionados após análise de expressão gênica.",Ciências da Saúde,Medicina,32.92059385202982,1.0,9
