title,link,Processo,start_vigencia,end_vigencia,Area,Orientador,Orientador_link,Aluno,Aluno_link,Institution,assunto,resumo,Area-Nivel_1,Area-Nivel_2,vigencia_months,label,PIndex
"Estudo de novos compostos guaiano, espiros e benzenos substituídos derivados da (R)-(-)-carvona e síntese total em fluxo do spirodienal a e spirangien a metil éster",/pt/bolsas/155018/estudo-de-novos-compostos-guaiano-espiros-e-benzenos-substituidos-derivados-da-r-carvona-e-si/,14/12001-4,2014-11-01,2015-04-30,Ciências Exatas e da Terra - Química - Química Orgânica,Timothy John Brocksom,/pt/pesquisador/779/timothy-john-brocksom/,Leandro de Carvalho Alves,/pt/pesquisador/676651/leandro-de-carvalho-alves/,"Centro de Ciências Exatas e de Tecnologia (CCET). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, Brasil",Produtos naturais Sesquiterpenos Síntese orgânica,"Neste projeto de pesquisa apresentamos fundamentalmente um pedido de complementação de bolsa de doutorado, expondo aqui os resultados obtidos até o momento e as perspectivas de conclusão dos estudos para a(s) respectiva(s) publicações dos resultados. Este pedido decorre do fato de que o estudante realizou estágio no exterior durante 1 ano e a bolsa CNPq em vigor no Brasil não foi congelada (norma do CNPq). Atrasos naturais em função das atividades realizadas no exterior ocorreram, contudo, resultados muito positivos compensaram estes atrasos e, em nossa opinião, suportam bem esta solicitação. Brevemente, descrevemos nesta solicitação de bolsa/projeto de pesquisa nossos esforços envolvendo a utilização do monoterpeno natural (R)-(-)-carvona como substrato de partida, pela qual foi possível o desenvolvimento e aperfeiçoamento de duas rotas sintéticas que levaram a compostos homólogos através de reações de expansão do anel de seis para sete membros. Reações de alquilação estereosseletivas (alilações e propargilações) desses quirons cicloeptânicos foram estudas e os produtos foram submetidos a reações com catalisadores contendo metais de transição (Ru, Pd, Au). O objetivo aqui foi a obtenção de compostos espiro não-simétricos, benzenos substituídos e compostos contendo um grupo do tipo tris-cetal interno. Adições do tipo Grignard na cicloeptenona contendo grupo alil na posição a-carbonila e posteriores estudos de reações de metátese de fechamento de anel forneceram compostos de origem natural do tipo guaianos.Como mencionado anteriormente, o estudante Leandro realizou doutorado-sanduíche por 12 (doze) meses no grupo do Prof. Steven V. Ley no Departamento de Química da Universidade de Cambridge no Reino Unido. Partes do projeto inicial de doutorado foram desenvolvidas em Cambridge paralelamente a atividades relativas a um segundo projeto em colaboração proposto pelo Prof. Ley. Basicamente, o estudante teve um valioso contato com a química de fluxo (Flow Chemistry), uma técnica bastante inovadora do ponto de vista metodológico. Uma demonstração clara do sucesso do estudante neste estágio em Cambridge pode ser comprovada pela publicação de um artigo no Angewandte Chemie (em anexo) referente às atividades desenvolvidas no laboratório do Prof Ley.Assim, devido à dedicação de tempo ao projeto em colaboração, que à época foi mais urgente e com maior destaque em publicações, o projeto original de doutorado ficou parcialmente comprometido. Por isso, solicitamos 6 meses de bolsa de doutorado dessa instituição para que o trabalho original seja finalizado com consequente publicação dos resultados e defesa da tese. (AU)",Ciências Exatas e da Terra,Química,5.9138791350951765,1.0,0
Investigação de biomarcadores tumorais de prognóstico e predição de linfoma não-Hodgkin por abordagem metabolômica,/pt/bolsas/153540/investigacao-de-biomarcadores-tumorais-de-prognostico-e-predicao-de-linfoma-nao-hodgkin-por-abordage/,14/10734-4,2014-08-01,2015-07-31,Ciências Exatas e da Terra - Química - Química Analítica,Ana Valéria Colnaghi Simionato Cantu,/pt/pesquisador/692377/ana-valeria-colnaghi-simionato-cantu/,Adriana Zardini Buzatto,/pt/pesquisador/80185/adriana-zardini-buzatto/,"Instituto de Química (IQ). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brasil",Eletroforese capilar Espectrometria de massas Linfoma não Hodgkin Metabolômica Cromatografia a gás Cromatografia líquida,"O câncer é a causa de um em cada oito falecimentos no mundo e um crescimento de 58% no número de óbitos é previsto até 2030. Linfomas não-Hodgkin são tumores que se desenvolvem nos tecidos do sistema linfático e apresentam alta variabilidade celular e genética. O diagnóstico da doença é feito através de exames patológicos, porém seu prognóstico e a predição da resposta aos tratamentos disponíveis são incertos. É vital que o prognóstico e a predição sejam precisos e exatos, garantindo que os pacientes recebam o tratamento adequado, o que resultaria em melhor qualidade de vida e aumento do período de sobrevida, bem como na redução dos efeitos tóxicos das drogas. Neste contexto, a pesquisa por biomarcadores tumorais de prognóstico e predição para linfomas não-Hodgkin é essencial para a população afetada. A metabolômica é o estudo dos metabólitos presentes em uma amostra biológica e é altamente representativa do estado momentâneo do organismo, portanto consiste em uma alternativa adequada para a pesquisa por biomarcadores. Este trabalho tem como objetivos principais a busca por biomarcadores tumorais de prognóstico e predição de linfomas não-Hodgkin por abordagem metabolômica. Amostras de soro sanguíneo e urina de portadores da doença serão coletadas antes de cada ciclo de quimioterapia e analisadas por UHPLC-MS, GC-MS e CE-MS, técnicas que se complementam e garantem a ampla cobertura sobre as diversas classes de metabólitos. Após o tratamento dos dados por análise estatística multivariada, os potenciais biomarcadores serão validados e poderão auxiliar no tratamento a ser aplicado em uma abordagem de medicina personalizada. (AU)",Ciências Exatas e da Terra,Química,11.9591778065258,0.0,1
Fauna acompanhante. um universo químico a ser explorado: raias,/pt/bolsas/151603/fauna-acompanhante-um-universo-quimico-a-ser-explorado-raias/,14/00422-5,2014-05-01,2015-03-31,Ciências Exatas e da Terra - Química - Química Orgânica,Wagner Vilegas,/pt/pesquisador/298/wagner-vilegas/,Guilherme Rabelo Coelho,/pt/pesquisador/672602/guilherme-rabelo-coelho/,"Instituto de Biociências (IB-CLP). Universidade Estadual Paulista (UNESP). Campus Experimental do Litoral Paulista. São Vicente , SP, Brasil",Produtos naturais Produtos naturais marinhos,"O desperdício de recursos provenientes da biodiversidade é enorme no Brasil e no mundo. A grande variedade de organismos marinhos (algas, moluscos, esponjas, corais, etc) que são pescados em conjunto com peixes e camarões é completamente ignorada como fonte de estudos de novas moléculas. Devido ao baixo valor agregado, os pescadores os desprezam, pois não são comercializáveis como alimento. A pesca de camarões é uma das mais impactantes aos ecossistemas marinhos: o uso de sistemas de arrasto do fundo marinho provoca a destruição de toda a região onde a técnica é empregada, capturando até 21kg de fauna acompanhante/kg de camarão. Diversas substâncias encontradas em organismos marinhos são extensamente aplicadas em áreas distintas para a melhoria da qualidade de vida da humanidade, incluindo a área de alimentos, geração de energia e de medicamentos. Tendo em vista esse quadro, este objetiva o estudo químico de espécies da fauna acompanhante da pesca do camarão no litoral paulista, no intento de obter moléculas de potencial interesse econômico, que possam agregar valor à esse material desperdiçado.",Ciências Exatas e da Terra,Química,10.97353128400994,0.0,2
Estudos metabolômicos e biossintéticos visando contribuições para a química e taxonomia de micro-organismos da família Xylariaceae,/pt/bolsas/147485/estudos-metabolomicos-e-biossinteticos-visando-contribuicoes-para-a-quimica-e-taxonomia-de-micro-org/,13/18603-3,2013-12-01,2014-11-30,Ciências Exatas e da Terra - Química - Química Orgânica,Edson Rodrigues Filho,/pt/pesquisador/4596/edson-rodrigues-filho/,Luciana da Silva Amaral,/pt/pesquisador/81528/luciana-da-silva-amaral/,"Centro de Ciências Exatas e de Tecnologia (CCET). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, Brasil",Produtos naturais Micro-organismos endofíticos,"O presente projeto de doutorado proposto para a aluna Luciana da Silva Amaral, visa à investigação da produção de metabólitos secundários pelos fungos endofíticos codificados como NICL3 e NICL5, ambos do gênero Xylaria, mediante modificações na composição de nutrientes nitrogenados. Durante o mestrado a aluna verificou que embora os microrganismos abordados tenham sido isolados de uma fonte comum e sejam do mesmo gênero, o metabolismo destes apresentou comportamento muito distinto, uma vez que, NICL3 produz sesquiterpenos eremofilanos e NICL5 produz majoritariamente citocalasinas. Muitos sesquiterpenos eremofilamos são conhecidos pela sua atividade anti-HIV. As citocalasinas tem chamado muita atenção devido a diversidade de suas estruturas moleculares, as quais são caracterizadas por uma unidade perhidroisoindólica altamente substituída ligada a um anel policetídico C16-C18. Dependendo do aminoácido incorporado a cadeia policetídica tem-se as citocalasinas ou zigosporinas (fenilalanina), caetoglobosinas (triptofano), aspocalasinas (leucina), alacalasinas (alanina) e piricalasinas (tirosina). Devido a grande diversidade estrutural, as citocalasinas tem chamado muita atenção devido a suas pronunciadas atividades biológica, principalmente, a habilidade de expulsar o núcleo da célula, inibição da HIV-1 protease, antibiótica, dentre outras. No presente projeto, será avaliado o efeito da adição de diferentes fontes nitrogenadas, como aminoácidos e sais inorgânicos no mebolismo secundário dos fungos em estudo e identificação de metabólitos secundários induzidos pelos diferentes meios. O trabalho de doutorado envolverá o desenvolvimento de metodologias baseadas em cromatografia a líquido acoplada à espectrometria de massas - LC/MS - as quais serão importantes para identificar os metabólitos secundários quando o fungo for cultivado em meios contendo diferentes aditivos nitrogenados.",Ciências Exatas e da Terra,Química,11.9591778065258,1.0,3
Metabolômica e screening de interações ecoquímicas de plantas da subtribo Lychnophorinae (Asteraceae),/pt/bolsas/140220/metabolomica-e-screening-de-interacoes-ecoquimicas-de-plantas-da-subtribo-lychnophorinae-asteraceae/,12/16646-4,2013-01-01,2014-10-22,Ciências Exatas e da Terra - Química - Química Orgânica,Leonardo Gobbo Neto,/pt/pesquisador/38741/leonardo-gobbo-neto/,Maria Elvira Poleti Martucci,/pt/pesquisador/318568/maria-elvira-poleti-martucci/,"Faculdade de Ciências Farmacêuticas de Ribeirão Preto (FCFRP). Universidade de São Paulo (USP). Ribeirão Preto , SP, Brasil",Metabolômica Asteraceae Ecologia química Quimiotaxonomia,"A família Asteraceae possui cerca de 11.000 gêneros e mais de 20.000 espécies. A Lychnophorinae, subtribo pertencente à tribo Vernonieae, tem distribuição quase restrita ao Brasil. Do ponto de vista fitoquímico, apresenta LST do tipo guaianolido e germacranolido. As LST são conhecidas devido às suas propriedades antinflamatórias, alelopáticas, tóxicas e deterrentes alimentar para herbívoros. Além das LST, as plantas apresentam uma enorme diversidade de metabólitos secundários, em parte atribuída às suas interações com herbívoros. Estes metabólitos podem apresentar diversos mecanismos de toxicidade contra herbívoros, porém, alguns herbívoros adaptados têm desenvolvido mecanismos para sobreviver às defesas das plantas, podendo até acumular, concentrar ou modificar esses metabólitos para o seu próprio benefício. Atualmente as técnicas metabolômicas são as mais eficazes para estudos ecoquímicos e de perfis metabólicos de plantas. Assim, os objetivos gerais deste projeto são obter perfis metabólicos de plantas da subtribo Lychnophorinae e de insetos que se alimentem dessas plantas, visando a identificar possíveis interações ecoquímicas e ainda, utilizar os perfis metabólicos das plantas como ferramenta quimiotaxonômica para auxiliar na resolução da classificação taxonômica dessa subtribo. Serão utilizados como ferramentas analíticas equipamentos de UHPLC-UV-MS e GC-MS, conforme a necessidade, em conjunto com ferramentas estatísticas metabolômicas",Ciências Exatas e da Terra,Química,21.65136861126512,1.0,4
Caracterização molecular da matéria orgânica sedimentar do Sistema Estuarino-Lagunar de Cananeia-Iguape por espectrometria de massas de ressonânica ciclotrônica de íons com Transformada de Fourier,/pt/bolsas/140299/caracterizacao-molecular-da-materia-organica-sedimentar-do-sistema-estuarino-lagunar-de-cananeia-igu/,12/21395-0,2013-01-01,2015-09-30,Ciências Exatas e da Terra - Química - Química Analítica,Marcos Nogueira Eberlin,/pt/pesquisador/506/marcos-nogueira-eberlin/,Giovana Anceski Bataglion,/pt/pesquisador/325247/giovana-anceski-bataglion/,"Instituto de Química (IQ). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brasil",Espectrometria de massas Sedimentos Matéria orgânica,"Este projeto de pesquisa visa avaliar a composição da matéria orgânica (MO) sedimentar do Sistema Estuarino-Lagunar de Cananéia-Iguape por FT-ICR MS a fim de identificar classes de compostos pouco exploradas em geoquímica orgânica. Os resultados acerca da composição da MO sedimentar serão avaliados e correlacionados com aspectos como: abertura do Valo Grande (século XIX), taxa de sedimentação, produção primária e eutrofização. O referido projeto tem importância relevante, tendo em vista que a área de estudo constitui um dos mais importantes berçários de vida marinha do planeta e alterações no ciclo da MO, bem como o aporte de poluentes, podem comprometer, definitivamente, a sustentabilidade do ecossistema. O delineamento experimental inclui o estudo da etapa de preparo da amostra e o emprego das técnicas ESI, APCI e APPI, em modo negativo e positivo. Assim, a MO será caracterizada de forma bastante ampla, obtendo-se informações a cerca de diferentes classes de compostos. O tratamento e a interpretação dos dados serão desenvolvidos por meio da identificação de perfis de espaçamentos que identifiquem íons de uma mesma série homóloga. Diagramas de van Krevelen bi e tri dimensional e análise estatística multivariada serão empregados para avaliar a composição da MO sedimentar e alterações registradas ao longo de cada testemunho coletado. As análises quantitativas, importantes para os compostos de origem antrópica, serão desenvolvidas por meio de técnicas como GC-MS ou LC-MS/MS. Ainda, os resultados obtidos serão relacionados com dados granulométricos, datação geocronológica e composição isotópica a fim de se obter a reconstituição e evolução histórica do ambiente, assim como avaliar a influência antropogênica nesta região.",Ciências Exatas e da Terra,Química,32.92059385202982,1.0,5
"Fotoquímica ""verde"": desenvolvimento de complexos de metais de transição luminescentes para ativação de oxigênio singleto e a sua aplicação na desinfecção de água contaminada com microorganismos patogênicos (Escherichia coli e Enterococcus faecalis)",/pt/bolsas/137404/fotoquimica-verde-desenvolvimento-de-complexos-de-metais-de-transicao-luminescentes-para-ativacao/,12/09449-8,2012-09-01,2015-11-06,Ciências Exatas e da Terra - Química - Química Inorgânica,Rose Maria Carlos,/pt/pesquisador/8445/rose-maria-carlos/,Paulo José de Sousa Maia,/pt/pesquisador/178128/paulo-jose-de-sousa-maia/,"Centro de Ciências Exatas e de Tecnologia (CCET). Universidade Federal de São Carlos (UFSCAR). São Carlos , SP, Brasil",Fotoquímica Oxigênio singleto Meio ambiente,"Neste projeto pretendemos desenvolver compostos de metais de transição luminescentes para atuarem como fotocatalisadores no processo de purificação de águas contaminada com microrganismos patogênicos. O sistema foi projetado para atuar em regiões rurais e/ou em pequenas comunidades deficientes de saneamento básico, onde a falta de infra-estrutura, de recursos para gastos operacionais, além da falta de capacitação dos usuários limitam o uso de tecnologias clássicas como cloração, ozônio, radiação UV. Para estas condições elaboramos, um sistema auto-sustentável, usando apenas água e luz solar como fonte de energia e um complexo de metal de transição luminescente capaz de ativar a formação do oxigênio molecular singleto, 1O2. Sob exposição à luz visível, o complexo luminescente catalisa a produção de 1O2 a partir do oxigênio dissolvido na água. 1O2 é um oxidante poderoso, conhecido por tornar inativas bactérias e vírus. Vale ressaltar que 1O2 apresenta alta reatividade um tempo de vida curto, micro-segundos em água, os quais não representam risco de toxicidade exceto para os microorganismos na vizinhança imediata da geração do 1O2.Para isso, pretendemos preparar uma série de complexos luminescentes do tipo [Ru(a-diimina)2(phen-per)3]2+ e avaliar suas propriedades espectroscópicas, eletroquímicas, fotoquímicas e fotofísicas em solução aquosa e em filmes poliméricos (silicone, náfion e celulose), na presença e ausência de 3O2. Estes complexos são convenientes devido à simplicidade de sínteses, estabilidade térmica e fotoquímica, luminescência intensa na região do visível, facilidade de obtenção de derivados e de serem imobilizados em filmes poliméricos. Na seqüência a viabilidade de aplicação prática dos fotocatalisadores propostos será avaliada no processo de desinfecção de água contaminada com os microorganismos Escherichia coli e Enterococcus faecalis. Os resultados obtidos serão comparados com o método de desinfecção solar SODIS nas mesmas condições experimentais. Espera-se assim, que esta pesquisa abra novas perspectivas para a purificação de águas para uso residencial contaminadas com microorganismos patogênicos.Neste projeto direcionamos os estudos para a desinfecção de águas. Entretanto, é importante ressaltar que os estudos para produção e reatividade do 1O2 encontram aplicações nas diversas áreas da ciência com implicações da ciência de materiais a terapia do câncer.",Ciências Exatas e da Terra,Química,38.14452042136389,1.0,6
"Estudo de reduções enzimáticas de cetonas alfa,beta-insaturadas, e suas aplicações na preparação de compostos de interesse sintético",/pt/bolsas/136011/estudo-de-reducoes-enzimaticas-de-cetonas-alfabeta-insaturadas-e-suas-aplicacoes-na-preparacao-de/,12/08385-6,2012-08-01,2015-07-31,Ciências Exatas e da Terra - Química - Química Orgânica,Paulo José Samenho Moran,/pt/pesquisador/14/paulo-jose-samenho-moran/,Bruno Ricardo Silva de Paula,/pt/pesquisador/176234/bruno-ricardo-silva-de-paula/,"Instituto de Química (IQ). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brasil",Biocatálise,"Durante o desenvolvimento deste projeto de doutorado pretende-se sintetizar alfa-cloroenonas, alfa-bromoenonas e alfa-metilenocetonas pró-quirais que possam dar origem a epóxidos e alfa-metilcetonas quirais de interesse sintético. Para esse fim, pretendemos investigar rotas biocatalíticas que forneçam os compostos de interesse com alto rendimento e estereosseletividade. No caso das ±-haloenonas, pretendemos estudar o uso de microorganismos encontrados em coleções de culturas em nosso país para a síntese de haloidrinas enantiomericamente enriquecidas, as quais serão usadas como precursora de epóxidos usados como intermediários sintéticos. No caso das ±-metilenocetonas, em um primeiro momento avaliaremos o uso desses microorganismos para a redução químio e enatiosseletiva da ligação C=C, dando origem a alfa-metilcetonas enantiomericamente enriquecidas que são produtos naturais, ou que são usadas como intermediários na síntese de produtos naturais. Em um segundo momento, pretendemos realizar um trabalho em conjunto com o grupo de pesquisa Biocatalysis and Organic Chemistry, Delft University of Technology, Delft - Países Baixos, investigando o potencial de diversas enoato redutases (ERs) na redução das ligações C=C e dando ênfase à atividade e enantiosseletividade das enzimas, bem como a métodos de regeneração de cofator (incluindo novos métodos desenvolvidos pelo próprio grupo de pesquisa em Delft). Dentre as motivações desse projeto, destaca-se o grande interesse sintético das moléculas-alvo, principalmente como intermediários de sínteses de produtos naturais, e, nesse contexto, o desenvolvimento de novas metodologias mais sustentáveis para a preparação desses segmentos.",Ciências Exatas e da Terra,Química,35.943243187745125,1.0,7
Desenvolvimento e aplicação de estudos metabolômicos por RMN na investigação do perfil metabólico de pacientes obesos submetidos a cirurgia bariátrica,/pt/bolsas/136060/desenvolvimento-e-aplicacao-de-estudos-metabolomicos-por-rmn-na-investigacao-do-perfil-metabolico-de/,12/09318-0,2012-07-01,2014-06-30,Ciências Exatas e da Terra - Química - Química Orgânica,Anita Jocelyne Marsaioli,/pt/pesquisador/1859/anita-jocelyne-marsaioli/,Thiago Inácio Barros Lopes,/pt/pesquisador/84978/thiago-inacio-barros-lopes/,"Instituto de Química (IQ). Universidade Estadual de Campinas (UNICAMP). Campinas , SP, Brasil",Quimiometria Perfil metabólico Ressonância magnética nuclear,"Metabolômica consiste no estudo de organismos ou sistemas biológicos através do seu metaboloma (conjunto de metabólitos de um organismo) empregando uma combinação de metodologias analíticas de alto desempenho e análise estatística multivariada. A metabolômica tem emergido rapidamente como uma nova plataforma de investigação de sistemas biológicos, maximizando a recuperação de informações biológicas e complementando informações obtidas por outras abordagens ""ômicas"" (genômica, transcriptômica e proteômica). Atualmente, estudos metabolômicos têm sido empregados na clínica para diagnósticos e/ou na busca de novos biomarcadores.Apesar dos inúmeros artigos publicados sobre o tema nos últimos anos, ainda não há consenso sobre o protocolo experimental ideal para estudos metabolômicos realizados por RMN. Há um tênue consenso que um mínimo de preparação da amostra é desejável, embora protocolos de extração e remoção de proteínas frequentemente sejam empregados na obtenção dos espectros. Uma característica comum às pesquisas de desenvolvimento de metodologias metabolômicas utilizando RMN é que as mesmas têm perseguido a otimização dos espectros obtidos. Porém, devido à frequente utilização de métodos quimiométricos na interpretação dos resultados obtidos por RMN, nós propomos neste projeto a otimização do protocolo de preparação da amostra e dos parâmetros de obtenção e processamento dos espectros de forma a obter os ""melhores modelos quimiométricos"" no caso concreto.Em seguida, estudos metabolômicos por RMN serão empregados na avaliação das alterações do perfil metabólico decorrentes do tratamento cirúrgico da obesidade. Obesidade é uma enfermidade caracterizada pelo acúmulo excessivo de gordura corporal, a qual tem sido associada comorbidades como diabetes e doenças coronarianas entre outras. O tratamento cirúrgico da obesidade é atualmente indicado a pacientes com obesidade mórbida (IMC > 40 Kg/m²) e nos casos de obesidade moderada (IMC > 35 Kg/m²) com comorbidades associadas. Este projeto visa investigar alterações no metaboloma de indivíduos obesos submetidos aos procedimentos de Bypass Gástrico com reconstrução em Y de Roux e Derivação Bilio-Pancreática.Por fim, pretendemos ainda comprovar a eficiência de métodos quimiométricos na seleção de íons em espectros de massas para a quantificação de compostos por CG-EM por monitoramento de íons selecionados. A metodologia será empregada na seleção de íons para quantificação de outras classes de compostos de importância biológica, como hidrocarbonetos e ácidos graxos substituídos.",Ciências Exatas e da Terra,Química,23.951210497135463,1.0,8
Determinação de açúcares em bagaço e palha de cana-de-açúcar por cromatografia líquida de alta eficiência com detecção eletroquímica utilizando eletrodos de nanotubos de carbono modificados com óxidos metálicos,/pt/bolsas/133972/determinacao-de-acucares-em-bagaco-e-palha-de-cana-de-acucar-por-cromatografia-liquida-de-alta-efici/,11/19289-5,2012-06-01,2015-11-29,Ciências Exatas e da Terra - Química - Química Analítica,Nelson Ramos Stradiotto,/pt/pesquisador/5700/nelson-ramos-stradiotto/,Acelino Cardoso de Sá,/pt/pesquisador/171642/acelino-cardoso-de-sa/,"Instituto de Química (IQ). Universidade Estadual Paulista (UNESP). Campus de Araraquara. Araraquara , SP, Brasil",Nanotubos de carbono Bioetanol Eletrodos quimicamente modificados Eletroanalítica Óxidos metálicos,"A biomassa constituída pelo bagaço da cana-de-açúcar. É um subproduto do processo de produção do açúcar e do etanol. No Brasil novas aplicações para o bagaço têm sido desenvolvidas, dentre elas pode-se destacar a produção de biocombustíveis (etanol) de segunda geração. O etanol de segunda geração a partir da biomassa, bagaço e a palha da cana, é uma forma de aumentar significativamente a produção de combustíveis. O desenvolvimento de processos para a produção de etanol de segunda geração a partir da biomassa da cana-de-açúcar envolve a otimização, de forma integrada, de diversas etapas: pré-tratamento, hidrólise e fermentação dos hidrolisados. Para a avaliação da eficiência de diversos processos alternativos, é fundamental uma caracterização precisa dos açúcares da biomassa para sua conversão em etanol de segunda geração. Os trabalhos desenvolvidos em análise de açúcares por CLAE utilizando detectores eletroquímicos se destacam por oferecerem melhores condições tais como sensibilidade, seletividade, detectabilidade e ampla aplicabilidade. Considerando a grande importância da determinação de açúcares em biomassa aliado à necessidade de desenvolver novos métodos de determinação rápidos, sensíveis e seletivos, o presente projeto tem como objetivo desenvolver novas metodologias para a caracterização da composição de açúcares para a transformação de biomassa de cana-de-açúcar em etanol de segunda geração utilizando a técnica de Cromatografia Líquida de Alta Eficiência acoplado com um Detector Eletroquímico. Para alcançar o objetivo proposto, deverão ser desenvolvidos detectores eletroquímicos baseados em eletrodos quimicamente modificados de nanotubos de carbono contendo óxidos metálicos como óxido de níquel, óxido de cobre e óxido de cobalto para a determinação de açúcares como arabinose, galactose, glicose, xilose e manose provenientes da biomassa de cana-de-açúcar (bagaço + palha) para a geração de etanol de segunda geração. (AU)",Ciências Exatas e da Terra,Química,41.922832091008026,1.0,9
