Pesquisador_link,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
/pt/pesquisador/3312/jose-luiz-laus/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,10,3,7,13,11,7
/pt/pesquisador/664999/renato-fraietta/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,15
/pt/pesquisador/890/fernando-cendes/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,38,41,53,106,176,199,287,326,352,145
/pt/pesquisador/179615/gustavo-ferreira-simoes/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,2,0
/pt/pesquisador/178442/sandra-maria-miraglia-valdeolivas/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,2,1,1
/pt/pesquisador/3742/sandra-josefina-ferraz-ellero-grisi/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0
/pt/pesquisador/683692/roberta-pulcheri-ramos/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
/pt/pesquisador/64502/fernanda-de-toledo-goncalves/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/690825/mariana-cavalheiro-magri/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/pt/pesquisador/69669/luiz-eduardo-gomes-garcia-betting/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,1,4,3,6,7,12,7,2
/pt/pesquisador/104662/daniel-paulino-venancio/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,4,10,8,1
/pt/pesquisador/690871/gildasio-castello-de-almeida-junior/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
/pt/pesquisador/669047/ludmilla-thome-domingos-chinen/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,4
/pt/pesquisador/53229/virginia-picanco-e-castro/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,2
/pt/pesquisador/56604/mariana-gobbo-braz/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,12,11,11,18,16,8
/pt/pesquisador/178764/waleska-kerllen-martins-gardesani/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,1,1,15,5
/pt/pesquisador/69165/raphael-mendes-ritti-dias/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
/pt/pesquisador/65722/hugo-cogo-moreira/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0
/pt/pesquisador/6225/israel-bendit/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,2,1,0
/pt/pesquisador/33934/celso-arrais-rodrigues-da-silva/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2
