Pesquisador_link,Title,Pub_Link,Nro_Autores,Data,Nro_Citations,Year
/pt/pesquisador/664999/renato-fraietta/,Sperm functional aspects and enriched proteomic pathways of seminal plasma of adult men with obesity,/pt/publicacao/165079/sperm-functional-aspects-and-enriched-proteomic-pathways-of/,7,MAY 2019,1,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Oral shedding of human herpesviruses in renal transplant recipients,/pt/publicacao/142147/oral-shedding-of-human-herpesviruses-in-renal-transplant-rec/,10,MAR 2018,4,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Herpesviruses in the oral cavity of patients subjected to allogeneic hematopoietic stem cell transplantation and its relationship with oral mucositis,/pt/publicacao/176816/herpesviruses-in-the-oral-cavity-of-patients-subjected-to-al/,8,FEB 2020,0,2020
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Unusual presentation of a disseminated oral HPV infection after combined antiretroviral therapy initiation,/pt/publicacao/172016/unusual-presentation-of-a-disseminated-oral-hpv-infection-af/,6, 2019,0,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Immunohistochemical analysis of BRAF V600E mutation in ameloblastomas,/pt/publicacao/159457/immunohistochemical-analysis-of-braf-v600e-mutation-in-amelo/,10,FEB 2019,2,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,"Prospective study of human herpesvirus 8 oral shedding, viremia, and serological status among human immunodeficiency virus seropositive and seronegative individuals in Sao Paulo, Brazil",/pt/publicacao/146471/prospective-study-of-human-herpesvirus-8-oral-shedding-vire/,10,OCT 15 2017,1,2017
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,"No detectable human herpesvirus-8 oral shedding in seronegative-healthy, immunocompetent individuals from non-endemic regions for Kaposi's sarcoma: A pilot study",/pt/publicacao/145680/no-detectable-human-herpesvirus-8-oral-shedding-in-seronegat/,6,FEB 2018,2,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Oral shedding at human herpesviruses in patients undergoing radiotherapy/chemotherapy for head and neck squamous cell carcinoma is not affected by xerostomia,/pt/publicacao/146380/oral-shedding-at-human-herpesviruses-in-patients-undergoing/,10,MAY 28 2018,1,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Oral shedding of human herpesviruses in patients undergoing radiotherapy/chemotherapy treatment for head and neck squamous cell carcinoma,/pt/publicacao/134344/oral-shedding-of-human-herpesviruses-in-patients-undergoing/,10,SEP 2017,2,2017
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Bleeding during and after dental extractions in patients with liver cirrhosis,/pt/publicacao/156360/bleeding-during-and-after-dental-extractions-in-patients-wit/,8,DEC 2018,2,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Potentially Malignant Oral Disorders and Cancer Transformation,/pt/publicacao/154309/potentially-malignant-oral-disorders-and-cancer-transformati/,8,JUN 2018,5,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Inflammatory profile of chronic apical periodontitis: a literature review,/pt/publicacao/162931/inflammatory-profile-of-chronic-apical-periodontitis-a-lite/,6,APR 3 2019,3,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Sclerosing Polycystic Adenosis of Tongue,/pt/publicacao/166286/sclerosing-polycystic-adenosis-of-tongue/,6,2018,1,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,The Importance of Histopathological Examination to the Final Diagnosis of Peripheral Odontogenic Tumors: A Case Report of a Peripheral Odontoma,/pt/publicacao/171599/the-importance-of-histopathological-examination-to-the-final/,6,SEP 8 2019,0,2019
/pt/pesquisador/890/fernando-cendes/,Texture analysis of hippocampal sclerosis,/pt/publicacao/48279/texture-analysis-hippocampal-sclerosis/,7,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Thalamic dysfunction in juvenile myoclonic epilepsy: a proton MRS study,/pt/publicacao/48347/thalamic-dysfunction-juvenile-myoclonic-epilepsy/,4,2003,0,2003
/pt/pesquisador/890/fernando-cendes/,Developmental language disorder associated with polymicrogyria,/pt/publicacao/48348/developmental-language-disorder-associated-polymicrogyria/,9,2002,0,2002
/pt/pesquisador/890/fernando-cendes/,Structural brain abnormalities in the common epilepsies assessed in a worldwide ENIGMA study,/pt/publicacao/146899/structural-brain-abnormalities-in-the-common-epilepsies-asse/,10,FEB 2018,36,2018
