Pesquisador_link,Title,Authors,Number_authors,Date,Citations,Year
/pt/pesquisador/664999/renato-fraietta/,Sperm functional aspects and enriched proteomic pathways of seminal plasma of adult men with obesity,"FERIGOLO, P. C.##RIBEIRO DE ANDRADE, M. B.##CAMARGO, M.##CARVALHO, V. M.##CARDOZO, K. H. M.##BERTOLLA, R. P.##FRAIETTA, R.",7,MAY 2019,1,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Unusual presentation of a disseminated oral HPV infection after combined antiretroviral therapy initiation,DANIELA ASSIS DO VALE##LAIS MAGDA ARAÚJO FERRACINI##MARCUS VINÍCIUS DA SILVA RODRIGUES BUENO##ANA CAROLINA MAMANA FERNANDES SOUZA##PAULO HENRIQUE BRAZ-SILVA##KAREM LÓPEZ ORTEGA,6,2019,0,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Oral shedding of human herpesviruses in renal transplant recipients,"DE SANTANA SARMENTO, DMITRY JOSE##TOZETTO-MENDOZA, TANIA REGINA##SUMITA, LAURA MASAMI##PIERROTI, LIGIA CAMARA##PALLOS, DEBORA##CALIENTO, RUBENS##PALMIERI, MICHELLE##DE OLIVEIRA MARTINS, VICTOR ADRIANO##GALLOTTINI, MARINA##PANNUTI, CLAUDIO SERGIO",10,MAR 2018,4,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Herpesviruses in the oral cavity of patients subjected to allogeneic hematopoietic stem cell transplantation and its relationship with oral mucositis,"MIRANDA-SILVA, WANESSA##KNEBEL, FRANCIELE HINTERHOLZ##TOZETTO-MENDOZO, TANIA REGINA##PALMIERI, MICHELLE##DA FONSECA, FELIPE PAIVA##CAMARGO, ANAMARIA ARANHA##BRAZ-SILVA, PAULO HENRIQUE##FREGNANI, EDUARDO RODRIGUES",8,FEB 2020,0,2020
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,"Prospective study of human herpesvirus 8 oral shedding, viremia, and serological status among human immunodeficiency virus seropositive and seronegative individuals in Sao Paulo, Brazil","BRAZ-SILVA, PAULO H.##TOZETTO-MENDOZA, TANIA R.##SUMITA, LAURA M.##FREIRE, WILTON##PALMIERI, MICHELLE##DO CANTO, ALAN M.##AVELINO-SILVA, VIVIAN I.##GALLOTTINI, MARINA##MAYAUD, PHILIPPE##PANNUTI, CLAUDIO S.",10,OCT 15 2017,1,2017
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Immunohistochemical analysis of BRAF V600E mutation in ameloblastomas,"DO CANTO, ALAN MOTTA##REIS DA SILVA MARCELINO, BARBARA MICHAELA##SCHUSSEL, JULIANA LUCENA##WASTNER, BRUNA F.##SASSI, LAURINDO MOACIR##CORREA, LUCIANA##DE FREITAS, RONALDO RODRIGUES##HASSEUS, BENGT##KJELLER, GORAN##LEMOS JUNIOR, CELSO AUGUSTO",10,FEB 2019,2,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Sclerosing Polycystic Adenosis of Tongue,"BRAZ-SILVA, PAULO HENRIQUE##DO CANTO, ALAN MOTTA##OLIVEIRA, LETICIA##MARTINS, FABIANA##PEREIRA DA COSTA, ALESSANDRO ANTONIO##COSTA HANEMANN, JOAO ADOLFO",6,2018,1,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,The Importance of Histopathological Examination to the Final Diagnosis of Peripheral Odontogenic Tumors: A Case Report of a Peripheral Odontoma,"DE OLIVEIRA, MARCIO AUGUSTO##REIS, BRUNA##PALLOS, DEBORA##KIM, YEON JUNG##BRAZ-SILVA, PAULO HENRIQUE##MARTINS, FABIANA",6,SEP 8 2019,0,2019
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Herpesviruses oral shedding and viremia in renal transplant recipients: A longitudinal study,"DE SANTANA SARMENTO, DMITRY JOSE##TOZETTO-MENDOZA, TANIA REGINA##FERNANDES DE SOUZA, ANA CAROLINA MAMANA##MACIEL, RAFAEL##PAIAO, HEUDER##LIMA, SILVIA HELENA##CRISTELLI, MARINA##MEDINA DE ABREU PESTANA, JOSE OSMAR##BRAZ-SILVA, PAULO HENRIQUE##GALLOTTINI, MARINA",10,JUN 2020,0,2020
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Bleeding during and after dental extractions in patients with liver cirrhosis,"MEDINA, J. B.##ANDRADE, N. S.##DE PAULA EDUARDO, F.##BEZINELLI, L.##FRANCO, J. B.##GALLOTTINI, M.##BRAZ-SILVA, P. H.##ORTEGA, K. L.",8,DEC 2018,2,2018
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Potentially Malignant Oral Disorders and Cancer Transformation,"GANESH, DIVYA##SREENIVASAN, PRATHIMA##OHMAN, JENNY##WALLSTROM, MATS##BRAZ-SILVA, PAULO HENRIQUE##GIGLIO, DANIEL##KJELLER, GORAN##HASSEUS, BENGT",8,JUN 2018,5,2018
