Link,Pesquisador,Institution,Scholar_id,Scholar_link,Presentation,Keywords,Auxilios-Total,Auxilios-Link,BolsaNoPais-Total,BolsaNoPais-Link,BolsaNoExterior-Total,BolsaNoExterior-Link,AllBolsas-Total,AllBolsas-Link,Nro-Publications,Nro-Citations
/pt/pesquisador/3312/jose-luiz-laus/,José Luiz Laus,Universidade Estadual Paulista (UNESP). Campus de Jaboticabal. Faculdade de Ciências Agrárias e Veterinárias (FCAV),,,"Professor Universitário desde 1982. Fez e faz carreira na Faculdade de Ciências Agrárias e Veterinárias, UNESP, Câmpus de Jaboticabal. Foi vice chefe do Departamento de Clínica e Cirurgia Veterinária, chefe do Departamento de Clínica e Cirurgia Veterinária, vice coordenador do Programa de Pós Graduação em Cirurgia Veterinária, coordenador do Programa de Pós Graduação em Cirurgia Veterinária, representante de Categoria Docente junto à Douta Congregação da Faculdade. Adjunto, foi presidente do Colégio Brasileiro de Oftalmologia Veterinária, é membro fundador da Sociedade Latino Americana de Oftalmologia Veterinária (SOLOVE), membro fundador do Colégio Latino Americano de Oftalmologia Veterinária (CLOVE), é membro da International Society of Veterinary Ophthalmology (ISVO), de quem é membro do Comitê Executivo. Foi, por dez anos, membro do Comitê de Avaliação da Capes. É bolsista de produtividade 1A do CNPq, e recebeu indicação recente para participar, a partir de dezembro de 2014, com mandato de três anos, do Comitê de Assessoramento da área de Medicina Veterinária do CNPq. É membro do corpo editorial das principais revistas nacionais e internacionais, no âmbito da oftalmologia veterinária. É membro assessor da Capes, do CNPq, da FAPEMIG, da FACEPE e da FAPESP. Realizou Pós-doutorado na Universidade de Londres - Ophthalmology Unit, The Royal Veterinary College, e também no Animal Referral Centre - Ophthalmology Unit, Dallas, USA. Mantêm, ainda, no âmbito da inserção internacional, atividades em Pesquisa e em Orientação de alunos com Instituições Europeias, Norte Americanas, Sul Americanas e Asiáticas. Atualmente, é Professor Titular do Departamento de Clínica e Cirurgia Veterinária da Faculdade de Ciências Agrárias e Veterinárias e Coordenador da Unidade de Oftalmologia do Hospital Veterinário ?Governador Laudo Natel?, da UNESP.",NoTiene%2#Despues lo lleno,,,,,,,,,22,44
/pt/pesquisador/75388/juliana-monte-real/,Juliana Monte Real,"Instituto do Câncer do Estado de São Paulo Octavio Frias de Oliveira (ICESP). Coordenadoria de Serviços de Saúde (CSS). Secretaria da Saúde (São Paulo - Estado). São Paulo, SP, Brasil",,,"Pesquisadora e professora graduada em Biomedicina e Doutora em Ciências Biológicas pela Fundação Antônio Prudente Hospital AC Camargo. Fez pós-doutorado sobre oncologia no programa de Ciências da Saúde no Instituto Sírio-Libanês de Ensino e Pesquisa do Hospital Sírio-Libanês. Possui experiência nas áreas de Biologia Molecular, Imunologia e Oncologia Molecular. Atualmente é Pesquisadora Científica na Associação para Crianças e Adolescentes com Câncer TUCCA, localizada no Departamento de Oncologia Pediátrica do Hospital Santa Marcelina, onde é responsável pelo laboratório de Patologia Molecular. Professora do Curso de Medicina na Disciplina de Oncologia da Faculdade Santa Marcelina. Atua como pesquisadora principal em projeto na área de medicina intensiva e exossomos, financiado pela Fundação de Amparo à Pesquisa do Estado de São Paulo (FAPESP) sendo desenvolvido no Instituto do Câncer do Estado de São Paulo (ICESP) da Universidade de São Paulo. Orientadora permanente do programa de pós-graduação stricto sensu do Instituto de Assistência Médica ao Servidor Público Estadual (IAMSPE). Leciona nos programas de pós-graduação lato sensu em Análises Clínicas na Universidade Santo Amaro (UNISA) e Assistência Multiprofissional em Oncologia do Centro Universitário São Camilo. Possui experiência como membro técnico de Comissão de Ética no Uso de Animais (CEUA) e Comissão Interna de Biossegurança (CIBio). (Fonte: Currículo Lattes)",Ciências Biológicas%2#Ciências da Saúde%1#Clínica Médica%1#Exossomos%1#Fatores de necrose tumoral%1#Imunologia%2#Inflamação%1#Lesão Pulmonar%1#Medicina%1#MicroRNAs%1#Respiração artificial%2#Sepse%1#Síndrome do desconforto respiratório agudo%1,1,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A75388) AND (auxilio:* AND situacao:""Concluídos"")",2.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A75388) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,3.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A75388) AND (*:*),0,0
/pt/pesquisador/664999/renato-fraietta/,Renato Fraietta,"Escola Paulista de Medicina (EPM). Universidade Federal de São Paulo (UNIFESP). Campus São Paulo. São Paulo, SP, Brasil",,,"Possui graduação em Medicina pela Escola Paulista de Medicina - Universidade Federal de São Paulo - UNIFESP (1995), Residência em Cirurgia Geral pela Universidade Federal de São Paulo - UNIFESP (1996-1997), Residência em Urologia pela Pontifícia Universidade Católica de Campinas / PUCCAMP (1998-1999), Doutorado em Ciências pelo Programa de Pós-Graduação da Disciplina de Urologia na Área de Reprodução Humana da Universidade Federal de São Paulo (2005), Estágio, no exterior, em Reprodução Humana pela Eastern Virginia Medical School-Norfolk , VA, USA (2006). Atualmente Médico-Assistente do Setor Integrado de Reprodução Humana - Hospital São Paulo / UNIFESP. Professor Afiliado do Departamento de Cirurgia / UNIFESP. Professor Orientador do Programa de Pós-graduação em Urologia - UNIFESP, integrante das Linhas de Pesquisa: 1. Mecanismos celulares e moleculares da infertilidade feminina. 2. Mecanismos celulares e moleculares da infertilidade masculina. Revisor Ad Hoc da Fapesp. Revisor do International Brazilian Journal of Urology (International Braz J Urol) ; Revisor do Asian Journal of Andrology (AJA); Revisor do Brazilian Journal of Infectious Diseases (BJID); Revisor do Canadian Urological Association Journal (CUAJ); Revisor do Human Fertility (Human Fertility); Revisor do Reproductive BioMedicine Online (RBMO). Dedica-se à Reprodução Humana, à varicocele, à obesidade, à análise funcional dos espermatozoides e aos mecanismos proteômicos do sêmen com ênfase na Fertilidade Futura, além do estudo do perfil lipídico do líquido folicular e sérico de mulheres em estimulação controlada dos ovários. Meu índice H = 15 e o Índice i10 = 17 (Fonte: Currículo Lattes)",Biologia Geral%1#Biomarcadores%1#Ciências Biológicas%1#Ciências da Saúde%3#Cirurgia%2#Espermatozoides%1#Fertilidade%1#Fragmentação do DNA%1#Hormônio luteinizante%1#Infertilidade masculina%2#Lipídeos%1#Lipidômica%1#Medicina%3#Metabolismo%1#Mitocôndrias%1#Obesidade%3#Oócitos%1#Proteínas%1#Proteômica%1#Reprodução humana%3#Sêmen%2,1,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A664999) AND (auxilio:* AND situacao:""Concluídos"")",3.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A664999) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,4.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A664999) AND (*:*),1,1
/pt/pesquisador/177769/paulo-henrique-braz-da-silva/,Paulo Henrique Braz da Silva,"Faculdade de Odontologia (FO). Universidade de São Paulo (USP). São Paulo, SP, Brasil",,,"Possui graduação em Odontologia pela Universidade de São Paulo (2003), mestrado em Odontologia (Patologia Bucal) pela Universidade de São Paulo (2005), doutorado em Odontologia (Patologia Bucal) pela Universidade de São Paulo (2009) e em Biologia Celular e Molecular pela Université de Nice Sophia-Antipolis, Nice, França (2009), Pós-doutorado no Laboratório de Virologia do Instituto de Medicina Tropical de São Paulo (IMTSP), Universidade de São Paulo (2014). Atualmente é professor doutor da Disciplina de Patologia Geral do Departamento de Estomatologia da Faculdade de Odontologia da Universidade de São Paulo - FOUSP e pesquisador associado do Laboratório de Virologia do Instituto de Medicina Tropical de São Paulo, Universidade de São Paulo - IMTSP, LIM 52 . Tem experiência na área de Morfologia, com ênfase em Patologia e Histologia, atuando principalmente nos seguintes temas: Anatomia Patológica, Patologia Molecular, Imuno-histoquímica, Virologia (Herpesvirus humanos, HPV e Poliomavirus). (Fonte: Currículo Lattes)",Ameloblastoma%1#Biomarcadores%1#Carcinoma de células escamosas%1#Ciências da Saúde%6#Clínica Médica%6#Estomatite%1#Herpesviridae%1#Hiv%2#Hpv%2#Imuno-histoquímica%1#Imunohistoquímica%1#Infecções por Papillomavirus%2#Infectologia%2#Leucoplasia%2#Medicina%6#Mucosite%1#Oncologia%4#Radioterapia%1#Reação em cadeia da polimerase via transcriptase reversa quantitativa (qRT-PCR)%1#Saliva%1#Sangue%1#Sorologia%1#Tumores odontogênicos%1,2,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A177769) AND (auxilio:* AND situacao:""Concluídos"")",4.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A177769) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,6.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A177769) AND (*:*),13,23
/pt/pesquisador/890/fernando-cendes/,Fernando Cendes,"Faculdade de Ciências Médicas (FCM). Universidade Estadual de Campinas (UNICAMP). Campinas, SP, Brasil",K7jgGRQAAAAJ,http://scholar.google.com.br/citations?user=K7jgGRQAAAAJ&hl=pt-BR&hl=pt-BR,"Professor Titular do Departamento de Neurologia da UNICAMP. Graduado em medicina pela Universidade Federal de Goiás (1985), fez residência médica em neurologia na Universidade Estadual de Campinas, Unicamp (1989), especialização em neurofisiologia clínica na Universidade McGill - Montreal Neurological Institute and Hospital, Canadá (1989), especialização em epileptologia e post doctoral research fellowship na Universidade McGill ? Hospital e Instituto Neurológico de Montreal (1991-1996), doutorado em neurociência na Universidade McGill ? Departamento de Neurologia e Neurocirurgia (1993-1997) e livre-docência na Universidade Estadual de Campinas - Unicamp (2004). Em 1997 ingressou como médico e docente na Faculdade de Ciências Médicas da Unicamp. É professor visitante da Universidade McGill, Departamento de Neurologia e Neurocirurgia (desde 1997) e um dos coordenadores da área de saúde da FAPESP (2007- ). Foi presidente da Liga Brasileira de Epilepsia (2006-2008), secretário da Subcomissão de Neuroimagem da Liga Internacional Contra a Epilepsia [ILAE] (2005-2009), Chair da Diagnostic commission da ILAE (2009-2013), coordenador da Subcomissão de Pós-Graduação do curso de Fisiopatologia Médica da FCM-UNICAMP (2006-2010), chefe do Departamento de Neurologia da FCM-Unicamp (2002-2006) e Coordenador da Câmara de Pesquisa da FCM-UNICAMP (2008-2014). Publicou 520 artigos completos em periódicos especializados (443 no Pubmed), 76 capítulos de livros e 6 livros. Orientou 27 dissertações de mestrado, 47 teses de doutorado, 20 pós-doutorados, além de ter orientado 57 trabalhos de iniciação científica. Atualmente orienta 2 dissertações de Mestrado, 7 teses de Doutorado, 4 Pós-Doutorados e 6 Iniciações Científicas. É membro de corpo editorial dos jornais científicos internacionais Neurology; Epilepsy Research; Arquivos de Neuropsiquiatria; e Editor Associado do jornal Epilepsia e Editor do Frontiers of Neurology Epilepsy. É membro titular da Academia Brasileira de Ciências, da Academia Brasileira de Neurologia, da Sociedade Brasileira de Neurofisiologia Clínica e da Sociedade Brasileira de Neuroradiologia Diagnóstica e Terapêutica. É membro associado da American Academy of Neurology e da American Epilepsy Society. É bolsista de Produtividade em Pesquisa do CNPq - Nível 1A. Tem experiência na área de Medicina-Neurologia, com ênfase em Epileptologia e Neuroimagem, atuando principalmente nos seguintes temas: epilepsy, seizures, magnetic resonance imaging, electroencephalography e fMRI. (Fonte: Currículo Lattes)",Acidente vascular cerebral%2#Amígdala%2#Anatomia Patológica e Patologia Clínica%3#Angiografia%2#Animais geneticamente modificados%1#Ansiedade%2#Aprendizado computacional%1#Aprendizado de Máquina%1#Articulação temporomandibular%2#Artigo científico%2#Ataxia%1#Atividade física%1#Atrofia%1#Avaliação neuropsicológica%4#Banco de dados%2#Bioinformática%1#Biologia computacional%1#Cefaleia%3#Cerebelo%2#Ciência da Computação%3#Ciências Exatas e da Terra%3#Ciências da Saúde%140#Cirurgia%4#Cisticercose%1#Citocinas%2#Clínica Médica%92#Cognição%1#Comparação%1#Comprometimento cognitivo leve%1#Congressos%2#Corpo Caloso%5#Córtex Entorrinal%2#Corticoterapia%1#Crises%1#Degeneração neural%1#Depressão%4#Diagnóstico por imagem%1#Diagnóstico%3#Dislexia%2#Displasia cortical focal%5#Doença crônica%4#Doença de Huntington%3#Doença de alzheimer%4#Doença de parkinson%3#Doenças neuromusculares%1#Eletroencefalografia%15#Emoções%1#Epidemiologia%1#Epilepsia do lobo temporal%6#Epilepsia%60#Epilepsias parciais%1#Epileptogênese%3#Esclerose hipocampal%8#Esclerose múltipla%1#Espectroscopia de ressonância magnética nuclear%1#Espectroscopia%5#Estudos longitudinais%1#Exercício físico%1#Farmacogenética%1#Fator de Impacto%2#Fenitoína%2#Fisiopatologia%4#Fisioterapia e Terapia Ocupacional%3#Fisioterapia%1#Gânglios da Base%1#Genética médica%1#Glutamatos%1#Hipertensão%1#Hipocampo%15#Humor%1#Imagem por ressonância magnética funcional%2#Inflamação%2#Interdisciplinar%2#Isquemia%2#Linguagem%3#Lobo temporal%6#Lúpus eritematoso sistêmico%2#Malformações do Desenvolvimento Cortical%1#Marcadores inflamatórios%1#Medicina%137#Memória semântica%1#Memória%7#Metodologia e Técnicas da Computação%1#Modelo experimental%1#Morfometria%2#Mutação%1#Neurobiologia%1#Neurociências%6#Neurocisticercose%1#Neurofisiologia%3#Neurogenética%3#Neuroimagem Funcional%1#Neuroimagem%30#Neurologia%46#Neuropatologia%2#Neuropsicologia%1#Neurotoxicidade%1#Oncologia%1#Optogenética%1#Oxigenoterapia%1#Patologia%1#Política de saúde%2#Processamento de imagens%1#Prognóstico%1#Qualidade de vida%2#Radiologia Médica%12#Reabilitação%1#Reconhecimento de padrões%1#Relaxometria%2#Ressonância magnética funcional em estado de repouso%1#Ressonância magnética funcional%6#Ressonância magnética%61#Ressonância%2#Saúde Coletiva%2#Saúde bucal%1#Saúde mental%2#Segmentação de imagens%2#Segmentação%2#Síndrome Perisylviana%2#Sistema límbico%2#Sistemas de Computação%1#Tálamo%2#Teoria dos grafos%1#Textura%2#Tomografia computadorizada%1#Traumatismos da medula espinal%1#Volumetria%14,29,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A890) AND (auxilio:* AND situacao:""Concluídos"")",97.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A890) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",12.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A890) AND (bolsa_exact:""Bolsas no Exterior"" AND situacao:""Concluídos"")",145.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A890) AND (*:*),120,1092
/pt/pesquisador/179615/gustavo-ferreira-simoes/,Gustavo Ferreira Simoes,"Instituto de Biologia (IB). Universidade Estadual de Campinas (UNICAMP). Campinas, SP, Brasil",n2D_mP8AAAAJ,http://scholar.google.com.br/citations?user=n2D_mP8AAAAJ&hl=pt-BR&hl=pt-BR,"Possui graduação em Licenciatura Plena em Educação Física pela Universidade Federal do Espírito Santo (2002) e em Licenciatura em Fisioterapia pelo Centro Universitário de Vila Velha (2006). Mestre em Anatomia obtido em 2009 junto ao Programa de Biologia Celular e Estrutural do Instituto de Biologia da Universidade Estadual de Campinas (UNICAMP). Doutor em Anatomia junto ao Programa de Biologia Celular e Estrutural do Instituto de Biologia da Universidade Estadual de Campinas (UNICAMP) .Atualmente é Professor Doutor na Faculdade Municipal Professor Franco Montoro (FMPFM) e Professor Doutor Assistente no Departamento de Morfologia da Faculdade de Ciências Médicas da Santa Casa de São Paulo (FCMSCSP). Tem experiência na área de Neurociências atuando principalmente nas seguintes áreas: cultura celular, microscopia eletrônica de transmissão, eletrontomografia e reconstrução tridimensional, imunoistoquímica, imunocitoquímica, análise funcional e morfológica do nervo isquiático, medula espinal e alterações da interface Sistema Nervoso Central e Periférico com o Sistema Muscular Esquelético em camundongos MDX, modelo animal experimental para o estudo da distrofia muscular de Duchenne. (Fonte: Currículo Lattes)",Biologia celular%1#Ciências Biológicas%1#Ciências da Saúde%2#Citologia e Biologia Celular%1#Distrofia muscular%1#Medicina%2#Medula Espinal%2#Medula espinhal%3#Morfologia%1#Nervo Isquiático%1#Neurociências%1#Pregabalina%1#Sistema nervoso central%2,2,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A179615) AND (auxilio:* AND situacao:""Concluídos"")",1.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A179615) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,3.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A179615) AND (*:*),2,10
/pt/pesquisador/178442/sandra-maria-miraglia-valdeolivas/,Sandra Maria Miraglia Valdeolivas,"Escola Paulista de Medicina (EPM). Universidade Federal de São Paulo (UNIFESP). Campus São Paulo. São Paulo, SP, Brasil",,,"Possui graduação em Ciências Biomédicas pela Escola Paulista de Medicina (1973), mestrado em Anatomia Humana pela Escola Paulista de Medicina (1979) e doutorado em Morfologia pela Escola Paulista de Medicina (1986). Atualmente é professora associada com livre-docência em Embriologia pela Universidade Federal de São Paulo- Escola Paulista de Medicina. Tem experiência na área de Morfologia, com linha de pesquisa consolidada em Biologia da Reprodução Masculina, desde 1986. Investiga as alterações espermatogênicas ocorridas em curto, médio e longo prazo do desenvolvimento sexual e suas implicações finais na produção espermática quantitativa e qualitativa. Utiliza o rato como modelo experimental, atuando na área de toxicologia reprodutiva e desenvolvendo modelos experimentais de varicocele, diabetes etc.. Investiga também a ação de drogas citoprotetoras visando a redução dos danos reprodutivos causados por xenobióticos e patologias e a possibilidade de reversibilidade em longo prazo. Emprega metodologias diversas e específicas para as análises da produção espermática e da qualidade dos espermatozoides, com ênfase na integridade do DNA e na estrutura da cromatina destes gametas.O impacto destas alterações sobre a fertilidade dos animais experimentais e a viabilidade da prole deles oriundas é também seu alvo de interesse. (Fonte: Currículo Lattes)",Apoptose%2#Biologia do desenvolvimento%1#Bleomicina%1#Carbamazepina%3#Carnitina%1#Células Germinativas%1#Células de Sertoli%1#Ciências Biológicas%11#Ciências da Saúde%3#Cisplatino%1#Depressão%1#Embriologia%3#Epitélio Seminífero%1#Espermatogênese%7#Espermatozoides%5#Estresse oxidativo%1#Estresse%1#Fertilidade%1#Fosfoetanolamina%1#Glândula tireoide%1#Histologia%1#Infertilidade%1#L-carnitina%1#Medicina%3#Morfologia%11#Nicotina%1#Puberdade%1#Ratos%8#Reprodução%4#Resveratrol%2#Testículo%8#Testosterona%1#Varicocele%1,8,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A178442) AND (auxilio:* AND situacao:""Concluídos"")",4.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A178442) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,14.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A178442) AND (*:*),3,16
/pt/pesquisador/679236/luiz-fernando-caneo/,Luiz Fernando Canêo,"Instituto do Coração Professor Euryclides de Jesus Zerbini (INCOR). Hospital das Clínicas da Faculdade de Medicina da USP (HCFMUSP). Secretaria da Saúde (São Paulo - Estado). São Paulo, SP, Brasil",,,"Possui graduação em Medicina pela Faculdade de Ciências Médicas de Santos (1984), Residência Medica em Cirurgia Geral (1985 - 86), Cirurgia Cardiovascular (1987 - 89) e Doutorado em Medicina (Cirurgia Torácica e Cardiovascular) pela Universidade de São Paulo (1999). Responsável pelo serviço de cirurgia cardiovascular do InCor-HC-FMUSP/Hospital do SEPACO (Projeto InCor-SEPACO - 1990 a 2000). Professor colaborador do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (2001 a 2004). Diretor do Departamento de Cirurgia do Instituto do Coração do Distrito Federal - Fundação Zerbini (desde a sua implantação em 2003 ao termino de suas atividades em abril de 2009). Diretor Técnico (2008) e Presidente do Conselho Diretor (2008) do Instituto do Coração do Distrito Federal - Fundação Zerbini. Atualmente é médico assistente da Unidade de Cirurgia Infantil da Divisão de Cirurgia do Instituto do Coração do Hospital das Clinicas da Universidade de São Paulo (InCor-HC-FMUSP) e Professor Colaborador do Departamento de Cardiopneumologia da Faculdade de Medicina da Universidade de Sao Paulo. ECMO Center (276) Director Tem experiência na área de Cirurgia Cardiovascular, com ênfase em Cirurgia Cardíaca Pediátrica e Adultos com Cardiopatias Congênitas, atuando principalmente nos seguintes temas: politicas de saúde em cirurgia cardiovascular pediátrica, programa de qualidade e formação de pessoal em cirurgia cardiovascular, banco de dados em cirurgia cardiovascular, ECMO, suporte circulatório mecânico (ventrículo artificial) e transplante cardíaco pediátrico. (Fonte: Currículo Lattes)",Cardiomiopatia Dilatada%1#Cardiopatias congênitas%2#Ciências da Saúde%4#Circulação Assistida%2#Cirurgia%4#Criança%1#Crianças%1#Insuficiência cardíaca%1#Insuficiência da Valva Pulmonar%1#Medicina%4#Reoperação%2#Tetralogia de Fallot%2#Tolerância ao Exercício%2#Transplante de coração%1#Valva Pulmonar%2,2,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A679236) AND (auxilio:* AND situacao:""Concluídos"")",2.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A679236) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,4.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A679236) AND (*:*),0,0
/pt/pesquisador/685682/octaviano-magalhaes-junior/,Octaviano Magalhães Junior,"Escola Paulista de Medicina (EPM). Universidade Federal de São Paulo (UNIFESP). Campus São Paulo. São Paulo, SP, Brasil",,,"Possui: graduação em medicina pela Universidade Federal do Rio de Janeiro (1998), residência-especialização em Oftalmologia (1999-2001), título de especialista CBO-AMB (2001), especialização em retina clínica e cirúrgica (2002-2004) pela UNIFESP-EPM, curso de Admnistração Hospitalar e Sistema de Saúde pela Fundação Getulio Vargas (2004), pos graduação em pesquisa (post doctoral fellowship) na área de oftalmologia cirúrgica na University Southern California (2005-2006), doutorado em oftalmologia pela UNIFESP-EPM (2009). Atualmente é Professor adjunto substituto de Oftalmologia do Curso de Medicina da Universidade Federal de Sao Paulo, médico (orientador ambulatorial e cirurgico) do Setor de Retina e Vítreo e aluno do pos doutorado da Universidade Federal de São Paulo (UNIFESP-EPM). Membro do Conselho Brasileiro de Oftalmologia, Sociedade Brasileira de Retina e Vitreo, Association for Research in Vision and Ophthalmology, American Academy of Ophthalmology e American Society of Retinal Specialists. (Fonte: Currículo Lattes)",Bioengenharia%1#Ciências da Saúde%1#Cirurgia Vitreorretiniana%1#Cirurgia%1#Hidrogéis%1#Hidrogel%1#Medicina%1#Oftalmologia%1,1,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A685682) AND (auxilio:* AND situacao:""Concluídos"")",,,,,,,0,0
/pt/pesquisador/3742/sandra-josefina-ferraz-ellero-grisi/,Sandra Josefina Ferraz Ellero Grisi,"Faculdade de Medicina (FM). Universidade de São Paulo (USP). São Paulo, SP, Brasil",,,"Sandra Josefina Ferraz Ellero Grisi é Professora Titular do Departamento de Pediatria da Faculdade de Medicina da Universidade São Paulo. Defendeu o Doutorado em 1982 e Livre-Docência em 1993 ambas pela Faculdade de Medicina da Universidade de São Paulo. Desenvolve projetos de pesquisa na linha ""Ensino, Política e Práticas de Atenção à Saúde em Pediatria"". Publicou mais de 85 artigos em periódicos especializados e mais de 70 Trabalhos em anais de eventos nacionais e internacionais. Organizou e editou mais de 10 livros e publicou mais de 57 capítulos. Orientou 22 dissertações de Mestrado e 16 teses de Doutorado na área de Pediatria. Recebeu 5 Prêmios e Homenagens. Atualmente é Chefe do Departamento de Pediatria da FMUSP, foi Superintendente do Hospital Universitário da Universidade de São Paulo na gestão 2010 a 2014, foi Diretora de Ensino e Pesquisa da Sociedade Brasileira de Pediatria de 2010 a 2016 e desde 2015 é membro vitalício da Academia Brasileira de Pediatria, órgão de aconselhamento e assessoramento do Conselho Superior e da Diretoria da Sociedade Brasileira de Pediatria. Em suas atividades profissionais interagiu com 188 colaboradores em co-autorias de trabalhos científicos. Em seu Currículo Lattes os termos mais frequentes na contextualização da produção cientifica e tecnológica são: Pediatria, Atenção Primária, Doenças Prevalentes da Infância, Crescimento e Desenvolvimento. (Fonte: Currículo Lattes)",Ciências Humanas%1#Ciências da Saúde%8#Desenvolvimento cognitivo%1#Desenvolvimento infantil%3#Doença crônica%1#Fatores de risco%1#Idade materna%1#Indicadores clínicos%1#Laço social%1#Medicina preventiva%2#Medicina%8#Pediatria%6#Planos e programas de saúde%2#Política de saúde%2#Prevenção de doenças%1#Prevenção%1#Promoção da saúde%2#Psicanálise%1#Psicologia%1#Psicopatologia%1#Saúde Materno-infantil%7#Saúde da criança%4#Saúde pública%1#Subjetividade%1,8,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A3742) AND (auxilio:* AND situacao:""Concluídos"")",1.0,"/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A3742) AND (bolsa_exact:""Bolsas no Brasil"" AND situacao:""Concluídos"")",,,9.0,/pt/pesquisa/buscador/?q2=(id_pesquisador_exact%3A3742) AND (*:*),1,4
