link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/83262/avaliacao-da-articulacao-temporomandibular-em-individuos-com-hemofilia-grave-caracterizacao-clinica/,Articulação temporomandibular##Hemofilia##Hemartrose##Diagnóstico por imagem##Ressonância magnética##Relaxometria,149669##16175##155283##804##803##399
/pt/auxilios/83401/alteracoes-mamograficas-em-mulheres-que-vivem-com-hivaids/,Infectologia##AIDS##HIV##Antirretrovirais##Linfócitos T CD4-positivos##Metabolismo##Mamografia,18520##5895##292##160875##7311##3183##3108
/pt/auxilios/83483/investigacao-do-papel-da-osteocalcina-nao-carboxilada-na-funcao-de-celulas-beta-pancreaticas-em-adol/,Endocrinologia##Síndrome metabólica##Osteocalcina##Adiponectina##Células secretoras de insulina##Resistência à insulina##Diabetes mellitus tipo 1,529##161166##7834##5770##2812##1266##7394
/pt/auxilios/83487/alteracoes-na-densidade-das-celulas-de-cajal-como-fator-prognostico-em-pacientes-com-estenose-da-jun/,Urologia##Estreitamento uretral##Células intersticiais de Cajal##Peristaltismo##Receptores proteína tirosina quinases##Proteínas proto-oncogênicas c-kit,148883##161590##158282##154717##16722##161591
/pt/auxilios/83534/inibidor-de-histona-desacetilase-hdaci-como-possivel-radiosensibilizante-em-linhagem-celular-de-gl/,Oncologia##Glioblastoma##Epigênese genética##Inibidores de histona desacetilases##Expressão de proteínas##Reparo de DNA tipo recombinacional,4867##17177##5574##161575##159837##161577
/pt/auxilios/83622/avaliacao-da-ocorrencia-de-paralisia-diafragmatica-apos-esvaziamento-cervical-e-sua-implicacao-clini/,Otorrinolaringologia##Esvaziamento cervical##Nervo frênico##Paralisia respiratória##Testes de função respiratória,403##7713##7433##161557##150363
/pt/auxilios/83629/adicao-de-celulas-tronco-mesenquimais-derivadas-de-tecido-adiposo-em-conduto-de-fibrina-na-regenerac/,Neurologia##Nervos periféricos##Regeneração nervosa##Transplante autólogo##Células-tronco mesenquimais##Tecido adiposo##Fibrina,2395##8542##8541##1622##16463##3720##149221
/pt/auxilios/82727/impacto-da-ventilacao-mandatoria-intermitente-nasal-sincronizada-por-assistencia-ventilatoria-com-aj/,Neonatologia##Recém-nascido##Unidades de terapia intensiva neonatal##Ventilação não invasiva##Pressão positiva contínua nas vias aéreas##Ventilação com pressão positiva intermitente,3790##1738##147351##159826##159704##160988
/pt/auxilios/83082/avaliacao-da-expressao-do-receptor-tipo-1-dos-fatores-de-crescimento-insulina-simile-igf1r-em-cria/,Crescimento e desenvolvimento##Estatura##Crianças##Obesidade##Receptor IGF tipo 1,18404##159078##1097##33##19503
/pt/auxilios/83155/perfil-bioquimico-e-caracteristicas-clinicas-dos-pacientes-com-suspeita-de-trombose-venosa-profunda/,Oncologia##Fatores de necrose tumoral##Trombose venosa##Tromboembolia venosa##Fator Xa##Selectina-P,4867##2949##2552##156983##154794##152856
