link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/83825/efeito-dose-resposta-do-fluoreto-em-parametros-relacionados-com-a-resistencia-a-insulina-em-linhagen/,Fluoretos##Resistência à insulina##Predisposição genética para doença##Proteoma##Ratos Sprague-Dawley##Ratos Wistar,152263##1266##8782##321##157241##152226
/pt/auxilios/82465/avaliacao-in-vitro-da-acao-antimicrobiana-de-solucoes-higienizadoras-de-proteses-totais/,Prótese dentária##Higienizadores de dentadura##Produtos com ação antimicrobiana##Placa bacteriana##Microscopia de fluorescência,3465##11044##16420##313##5785
/pt/auxilios/82365/avaliacao-de-lesoes-periapicais-na-ausencia-de-molecula-adaptadora-para-ativacao-de-receptores-toll-/,Patologia bucal##Lesões periapicais##Imuno-histoquímica##Receptores toll-like##Fator 88 de diferenciação mieloide##Camundongos,3635##150095##162220##16638##161016##5333
/pt/auxilios/83059/personalizacao-de-pinos-de-fibra-de-vidro-estudo-de-propriedades-mecanicas-na-interface-restaurador/,Fibra de vidro##Propriedades mecânicas##Cimentos dentários##Pinos dentários##Resistência de união (odontologia),196##1372##8915##159289##11235
/pt/auxilios/82462/estudo-in-vivo-e-in-vitro-da-atividade-de-compostos-isolados-de-propolis-brasileiras-sobre-a-modulac/,Anti-inflamatórios##Própolis##Neutrófilos##Mediadores da inflamação##Receptores toll-like##Integrinas##Quimiotaxia,160860##120##664##1483##16638##5043##7013
/pt/auxilios/82466/estudo-da-acao-desinfetante-do-acido-peracetico-na-precisao-de-modelos-de-gesso-um-estudo-in-vitro/,Materiais para moldagem odontológica##Desinfecção##Elastômeros de silicone##Ácido peracético,11010##3533##153350##19201
/pt/auxilios/82472/terapia-fotodinamica-como-tratamento-complementar-ao-tratamento-nao-cirurgico-da-periodontite-cronic/,Doenças periodontais##Periodontite crônica##Hábito de fumar##Tabagismo##Tratamento periodontal##Terapia fotodinâmica##Laser não cirúrgico,5504##152680##161788##4525##7325##150454##12072
/pt/auxilios/82678/participacao-de-androgenos-na-regulacao-da-resposta-imunoinflamatoria-e-metabolismo-osseo-associados/,Doenças periodontais##Resposta inflamatória##Testosterona##Androgênios##Reparo ósseo,5504##8119##2505##165424##14727
/pt/auxilios/82682/overdentures-mandibulares-retidas-por-um-ou-dois-implantes-um-estudo-clinico-randomizado/,Prótese total##Revestimento de dentadura##Implantes dentários,4600##158829##1367
/pt/auxilios/82719/lascamento-de-porcelana-sobre-zirconia-ensaio-experimental-e-analise-por-elementos-finitos/,Porcelana dentária##Zircônia##Método dos elementos finitos##Resistência dos materiais##Lascamento,19804##159858##423##1378##165022
/pt/auxilios/82739/confiabilidade-e-validade-do-metodo-de-plaqueamento-em-rastro-para-quantificacao-de-colonias-de-espe/,Microbiologia aplicada##Candida##Células-tronco,157858##5074##319
/pt/auxilios/82752/vida-em-fadiga-e-modos-de-falha-de-coroas-com-infraestrutura-em-zirconia-efeito-do-desenho-da-resta/,Coroas dentárias##Cimentação de coroas##Fadiga##Zircônia,149700##149701##6022##159858
/pt/auxilios/82768/estabilidade-eletroquimica-do-ticp-com-superficies-modificadas-por-acido-e-jateamento-com-oxido-de-a/,Implantes dentários##Corrosão dos materiais##Tratamento de superfícies##Titânio,1367##21##7723##1363
/pt/auxilios/82863/influencia-da-irrigacao-ultrassonica-passiva-na-reducao-de-bacterias-e-endotoxinas-dos-canais-radicu/,Instrumentos odontológicos##Equipamento odontológico##Irrigantes do canal radicular##Preparo de canal radicular,148438##3422##153265##160973
