link_researcher,assunto_keywords,assunto_ids
/pt/auxilios/83872/avaliacao-da-infeccao-em-aves-e-carrapatos-ixodideos-por-flavivirus-e-rickettsias-de-importancia-san/,Doenças das aves##Vetores de doenças##Flavivirus##Ixodidae##Rickettsia##Carrapatos,156991##2729##5567##14746##152222##276
/pt/auxilios/83470/avaliacao-da-proteina-c-reativa-como-marcador-inflamatorio-no-penfigo-foliaceo-e-na-piodermite-super/,Clínica veterinária##Dermatopatias##Doenças autoimunes##Pênfigo##Pioderma##Proteína C-reativa##Marcadores inflamatórios##Cães,7234##363##160830##52572##161601##150338##18846##3722
/pt/auxilios/83095/estudo-retro-e-prospectivo-da-analise-das-correlacoes-entre-frequencia-cardiaca-parametros-eletroca/,Clínica de pequenos animais##Cardiologia veterinária##Eletrocardiografia##Frequência cardíaca##Peso corporal##Cães,160219##149395##7516##7014##13684##3722
/pt/auxilios/82143/utilizacao-de-compositos-mantas-osseas-a-base-de-quitosana-colageno-e-hidroxiapatita-como-substit/,Ortopedia e traumatologia veterinária##Implante ósseo animal##Teste de biocompatibilidade##Biomateriais poliméricos##Polímeros naturais##Hidroxiapatita##Quitosana##Ovinos,6525##6526##8885##1715##164298##11342##1956##3416
/pt/auxilios/82238/avaliacao-das-diferentes-concentracoes-de-selenio-na-reproducao-de-ovinos/,Bioquímica animal##Hormônios esteroides gonadais##Sêmen animal##Suplementos minerais para animais##Selênio##Ovinos,1854##10962##3781##11090##3135##3416
/pt/auxilios/83057/estudo-de-marcadores-celulares-como-fator-prognostico-de-caes-com-neoplasia-intranasal-tratados-com/,Cirurgia veterinária##Neoplasias em animal##Neoplasias nasais##Imuno-histoquímica##Biomarcadores##Quimioterapia,5806##4372##160939##162220##1891##4920
/pt/auxilios/83102/identificacao-de-mutacoes-em-diferentes-variantes-do-virus-da-raiva-apos-sucessivas-inoculacoes-em-c/,Virologia##Vírus da raiva##Mutação##Inoculação,766##1970##988##1961
/pt/auxilios/82346/biologia-comparativa-de-carrapatos-dos-grupos-de-especies-rhipicephalus-sanguineus-e-amblyomma-cajen/,Doenças parasitárias em animais##Carrapatos##Amblyomma cajennense##Rhipicephalus sanguineus##Táxons,158337##276##6138##4759##10576
/pt/auxilios/82541/estudo-etiologico-da-placa-aural-em-equinos/,Neoplasias em animal##Papilomatose##Placa aural##Equus caballus papillomavirus##Equinos##Imiquimod,4372##161000##161001##161002##3670##161003
/pt/auxilios/82627/efeitos-da-hemodialise-intermitente-em-fase-precoce-da-doenca-renal-cronica-sobre-o-perfil-clinico-e/,Nefropatias em animal##Lesão renal aguda##Diálise##Diálise renal##Cães,150817##19156##6085##4481##3722
/pt/auxilios/82337/estudo-da-viabilidade-da-implantacao-de-um-registro-de-cancer-animal-na-cidade-de-sao-paulo-sp-bra/,Neoplasias em animal##Registros veterinários##Vigilância epidemiológica##Cães##Gatos##Softwares##Sistemas de informação,4372##161028##4614##3722##4373##1766##3319
/pt/auxilios/82338/analise-da-ocorrencia-de-metastase-intraocular-em-cadelas-portadoras-de-carcinoma-mamario-e-correlac/,Neoplasias em animal##Neoplasias mamárias##Caderinas##Metástase neoplásica##Metilação##Cadelas##Mutação,4372##1603##2921##2442##6578##8348##988
/pt/auxilios/81546/genotipagem-de-polimorfismos-do-gene-da-proteina-prionica-por-pcr-em-tempo-real-em-ovinos-criados-no/,Encefalopatias##Scrapie##Príons##Polimorfismo genético##Reação em cadeia da polimerase em tempo real##Resistência genética animal##Técnicas de genotipagem##Ovinos,16237##156436##3294##151781##160909##6117##10887##3416
/pt/auxilios/82148/identificacao-e-cultivo-de-celulas-tronco-espermatogoniais-indiferenciadas-em-bovinos/,Cultura de células##Células-tronco espermatogoniais##Marcador molecular##Expressão gênica##Bovinos,4904##161055##1028##874##2718
/pt/auxilios/81476/efeitos-cardiorrespiratorios-sedativos-e-antinociceptivos-da-lidocaina-dexmedetomidina-e-dexmedeto/,Ovinos##Anestesiologia veterinária##Anestesia local##Lidocaína##Dexmedetomidina##Agonistas adrenérgicos,3416##153518##7633##6150##151361##152715
/pt/auxilios/81510/estudo-encefalico-de-gatos-domesticos-adultos-e-idosos-por-ressonancia-magnetica/,Diagnóstico por imagem##Ressonância magnética##Encéfalo##Gatos,804##803##16734##4373
/pt/auxilios/81515/utilizacao-da-eletroforese-em-gel-com-gradiente-de-temperatura-na-determinacao-do-perfil-da-microbio/,Doenças das aves##Frangos de corte##Microbioma gastrointestinal##Salmonella enteritidis##Eletroforese em gel de gradiente desnaturante,156991##765##165396##149218##157594
/pt/auxilios/81518/efeitos-hemodinamicos-e-ventilometricos-do-cefaloaclive-em-bezerros-anestesiados-pelo-sevofluorano/,Anestesiologia veterinária##Anestésicos inalatórios##Hemodinâmica##Bovinos,153518##157771##1568##2718
/pt/auxilios/81528/variacao-sazonal-da-qualidade-da-agua-e-do-pescado-tilapia-do-nilo-oreochromis-niloticus-oriundo/,Qualidade da água##Microbiologia da água##Saúde pública##Pesca##Tilápia-do-Nilo,3744##13910##157772##2573##5242
/pt/auxilios/81676/deteccao-molecular-de-agentes-transmitidos-por-artropodes-em-felinos-domesticos-da-fundacao-parque-z/,Parasitologia veterinária##Vetores artrópodes##Bartonella##Gatos,8399##152586##148802##4373
